

=== Predictions on test data ===

    inst#     actual  predicted error prediction
        1        1:?   1:lncRNA       0.863 
        2        1:?   1:lncRNA       0.782 
        3        1:?     2:mRNA       0.596 
        4        1:?   1:lncRNA       0.852 
        5        1:?     2:mRNA       1 
        6        1:?   1:lncRNA       0.825 
        7        1:?     2:mRNA       1 
        8        1:?   1:lncRNA       0.763 
        9        1:?   1:lncRNA       0.863 
       10        1:?   1:lncRNA       0.782 
       11        1:?   1:lncRNA       0.782 
       12        1:?   1:lncRNA       0.782 
       13        1:?   1:lncRNA       0.782 
       14        1:?   1:lncRNA       0.782 
       15        1:?   1:lncRNA       0.782 
       16        1:?   1:lncRNA       0.852 
       17        1:?   1:lncRNA       0.852 
       18        1:?   1:lncRNA       0.852 
       19        1:?   1:lncRNA       0.852 
       20        1:?     2:mRNA       0.596 
       21        1:?   1:lncRNA       0.852 
       22        1:?     2:mRNA       1 
       23        1:?   1:lncRNA       0.863 
       24        1:?     2:mRNA       1 
       25        1:?     2:mRNA       0.596 
       26        1:?   1:lncRNA       0.852 
       27        1:?     2:mRNA       0.596 
       28        1:?   1:lncRNA       0.825 
       29        1:?   1:lncRNA       0.763 
       30        1:?     2:mRNA       0.596 
       31        1:?     2:mRNA       0.596 
       32        1:?   1:lncRNA       0.782 
       33        1:?   1:lncRNA       0.852 
       34        1:?   1:lncRNA       0.852 
       35        1:?   1:lncRNA       0.852 
       36        1:?   1:lncRNA       0.697 
       37        1:?   1:lncRNA       0.852 
       38        1:?   1:lncRNA       0.852 
       39        1:?   1:lncRNA       0.697 
       40        1:?   1:lncRNA       0.697 
       41        1:?     2:mRNA       0.596 
       42        1:?   1:lncRNA       0.697 
       43        1:?   1:lncRNA       0.697 
       44        1:?   1:lncRNA       0.863 
       45        1:?     2:mRNA       0.596 
       46        1:?     2:mRNA       0.596 
       47        1:?   1:lncRNA       0.852 
       48        1:?     2:mRNA       0.596 
       49        1:?   1:lncRNA       0.852 
       50        1:?   1:lncRNA       0.763 
       51        1:?   1:lncRNA       0.852 
       52        1:?   1:lncRNA       0.852 
       53        1:?   1:lncRNA       0.863 
       54        1:?   1:lncRNA       0.863 
       55        1:?   1:lncRNA       0.852 
       56        1:?   1:lncRNA       0.852 
       57        1:?   1:lncRNA       0.863 
       58        1:?   1:lncRNA       0.782 
       59        1:?   1:lncRNA       0.863 
       60        1:?   1:lncRNA       0.863 
       61        1:?   1:lncRNA       0.863 
       62        1:?   1:lncRNA       0.863 
       63        1:?     2:mRNA       1 
       64        1:?   1:lncRNA       0.863 
       65        1:?   1:lncRNA       0.863 
       66        1:?   1:lncRNA       0.852 
       67        1:?   1:lncRNA       0.929 
       68        1:?   1:lncRNA       0.929 
       69        1:?   1:lncRNA       0.852 
       70        1:?   1:lncRNA       0.863 
       71        1:?   1:lncRNA       0.852 
       72        1:?   1:lncRNA       0.852 
       73        1:?   1:lncRNA       0.863 
       74        1:?   1:lncRNA       0.852 
       75        1:?   1:lncRNA       0.782 
       76        1:?   1:lncRNA       0.863 
       77        1:?   1:lncRNA       0.863 
       78        1:?   1:lncRNA       0.863 
       79        1:?   1:lncRNA       0.852 
       80        1:?   1:lncRNA       0.852 
       81        1:?   1:lncRNA       0.852 
       82        1:?   1:lncRNA       0.852 
       83        1:?   1:lncRNA       0.852 
       84        1:?     2:mRNA       1 
       85        1:?   1:lncRNA       0.852 
       86        1:?   1:lncRNA       0.852 
       87        1:?   1:lncRNA       0.863 
       88        1:?     2:mRNA       0.596 
       89        1:?   1:lncRNA       0.863 
       90        1:?   1:lncRNA       0.852 
       91        1:?   1:lncRNA       0.852 
       92        1:?   1:lncRNA       0.852 
       93        1:?   1:lncRNA       0.852 
       94        1:?     2:mRNA       1 
       95        1:?   1:lncRNA       0.852 
       96        1:?     2:mRNA       1 
       97        1:?   1:lncRNA       0.852 
       98        1:?   1:lncRNA       0.852 
       99        1:?     2:mRNA       1 
      100        1:?     2:mRNA       1 
      101        1:?   1:lncRNA       0.863 
      102        1:?   1:lncRNA       0.863 
      103        1:?     2:mRNA       1 
      104        1:?     2:mRNA       1 
      105        1:?     2:mRNA       1 
      106        1:?     2:mRNA       1 
      107        1:?   1:lncRNA       0.852 
      108        1:?   1:lncRNA       0.852 
      109        1:?   1:lncRNA       0.852 
      110        1:?   1:lncRNA       0.852 
      111        1:?   1:lncRNA       0.852 
      112        1:?     2:mRNA       1 
      113        1:?     2:mRNA       1 
      114        1:?     2:mRNA       1 
      115        1:?     2:mRNA       1 
      116        1:?     2:mRNA       1 
      117        1:?     2:mRNA       1 
      118        1:?     2:mRNA       1 
      119        1:?     2:mRNA       1 
      120        1:?   1:lncRNA       0.852 
      121        1:?     2:mRNA       1 
      122        1:?   1:lncRNA       0.852 
      123        1:?   1:lncRNA       0.852 
      124        1:?   1:lncRNA       0.852 
      125        1:?   1:lncRNA       0.852 
      126        1:?   1:lncRNA       0.852 
      127        1:?   1:lncRNA       0.852 
      128        1:?   1:lncRNA       0.852 
      129        1:?   1:lncRNA       0.852 
      130        1:?   1:lncRNA       0.852 
      131        1:?   1:lncRNA       0.863 
      132        1:?   1:lncRNA       0.863 
      133        1:?   1:lncRNA       0.863 
      134        1:?   1:lncRNA       0.863 
      135        1:?     2:mRNA       1 
      136        1:?   1:lncRNA       0.852 
      137        1:?     2:mRNA       1 
      138        1:?   1:lncRNA       0.852 
      139        1:?   1:lncRNA       0.852 
      140        1:?   1:lncRNA       0.852 
      141        1:?   1:lncRNA       0.852 
      142        1:?   1:lncRNA       0.863 
      143        1:?   1:lncRNA       0.852 
      144        1:?   1:lncRNA       0.863 
      145        1:?   1:lncRNA       0.852 
      146        1:?   1:lncRNA       0.852 
      147        1:?   1:lncRNA       0.863 
      148        1:?   1:lncRNA       0.852 
      149        1:?     2:mRNA       1 
      150        1:?   1:lncRNA       0.863 
      151        1:?   1:lncRNA       0.863 
      152        1:?   1:lncRNA       0.863 
      153        1:?   1:lncRNA       0.863 
      154        1:?     2:mRNA       1 
      155        1:?     2:mRNA       1 
      156        1:?     2:mRNA       1 
      157        1:?     2:mRNA       1 
      158        1:?     2:mRNA       1 
      159        1:?   1:lncRNA       0.852 
      160        1:?     2:mRNA       1 
      161        1:?   1:lncRNA       0.929 
      162        1:?   1:lncRNA       0.852 
      163        1:?     2:mRNA       1 
      164        1:?     2:mRNA       1 
      165        1:?   1:lncRNA       0.852 
      166        1:?   1:lncRNA       0.852 
      167        1:?   1:lncRNA       0.863 
      168        1:?     2:mRNA       1 
      169        1:?   1:lncRNA       0.863 
      170        1:?     2:mRNA       1 
      171        1:?   1:lncRNA       0.852 
      172        1:?   1:lncRNA       0.863 
      173        1:?     2:mRNA       1 
      174        1:?     2:mRNA       1 
      175        1:?   1:lncRNA       0.782 
      176        1:?   1:lncRNA       0.863 
