mod	sen	spe	pre	acc	tp	tn	fp	fn
1	0.97	0.98	0.98	0.97	26328	26259	661	703
2	0.98	0.97	0.97	0.97	26321	26277	690	664
3	0.97	0.97	0.97	0.97	26125	26392	735	699
4	0.97	0.98	0.98	0.97	26296	26274	669	713
5	0.98	0.98	0.98	0.98	26297	26316	665	674
6	0.98	0.98	0.98	0.98	26316	26310	670	655
7	0.97	0.97	0.97	0.97	26528	26047	690	687
8	0.97	0.98	0.98	0.98	26262	26355	658	676
9	0.97	0.97	0.97	0.97	26186	26353	711	702
10	0.97	0.98	0.98	0.97	26233	26361	665	693
mean	0.97	0.97	0.97	0.97	26289.2	26294.4	681.4	686.6
