Sample	pe_sense	pe_antisense	failed
leaf_0h_T0_R1	0.4974	0.4979	0.0047
leaf_0h_T0_R2	0.4959	0.4982	0.0059
leaf_0h_T0_R3	0.4947	0.4974	0.008
leaf_120h_T1_R1	0.497	0.4971	0.0059
leaf_120h_T1_R2	0.4954	0.4973	0.0073
leaf_120h_T1_R3	0.4966	0.4973	0.0061
leaf_120h_T2_R1	0.4968	0.4962	0.007
leaf_120h_T2_R2	0.4949	0.4969	0.0082
leaf_120h_T2_R3	0.4991	0.4947	0.0062
leaf_120h_T3_R1	0.4966	0.4975	0.0059
leaf_120h_T3_R2	0.4962	0.4966	0.0072
leaf_120h_T3_R3	0.497	0.497	0.006
leaf_120h_T4_R1	0.4991	0.4943	0.0066
leaf_120h_T4_R2	0.4994	0.4931	0.0075
leaf_120h_T4_R3	0.4994	0.4924	0.0082
leaf_24h_T1_R1	0.4987	0.4937	0.0076
leaf_24h_T1_R2	0.4991	0.4929	0.0079
leaf_24h_T1_R3	0.4953	0.4986	0.006
leaf_24h_T2_R1	0.4979	0.4966	0.0056
leaf_24h_T2_R2	0.4972	0.4973	0.0056
leaf_24h_T2_R3	0.4983	0.4953	0.0064
leaf_24h_T3_R1	0.496	0.4967	0.0074
leaf_24h_T3_R2	0.4981	0.4966	0.0052
leaf_24h_T3_R3	0.4946	0.4976	0.0078
leaf_24h_T4_R1	0.4966	0.4938	0.0097
leaf_24h_T4_R2	0.4963	0.4981	0.0056
leaf_24h_T4_R3	0.4958	0.4981	0.0061
leaf_72h_T1_R1	0.4951	0.4961	0.0087
leaf_72h_T1_R2	0.4968	0.4962	0.007
leaf_72h_T1_R3	0.4975	0.4936	0.0089
leaf_72h_T2_R1	0.492	0.498	0.01
leaf_72h_T2_R2	0.4989	0.4944	0.0067
leaf_72h_T2_R3	0.4929	0.4988	0.0083
leaf_72h_T3_R1	0.495	0.497	0.008
leaf_72h_T3_R2	0.4957	0.498	0.0063
leaf_72h_T3_R3	0.4948	0.4959	0.0094
leaf_72h_T4_R1	0.4942	0.4978	0.0079
leaf_72h_T4_R2	0.4971	0.4964	0.0065
leaf_72h_T4_R3	0.4948	0.4976	0.0076
stem_0h_T0_R1	0.498	0.4961	0.0059
stem_0h_T0_R2	0.4965	0.4968	0.0067
stem_0h_T0_R3	0.4962	0.4967	0.0071
stem_120h_T1_R1	0.4978	0.4963	0.006
stem_120h_T1_R2	0.4967	0.4959	0.0073
stem_120h_T1_R3	0.4953	0.4982	0.0065
stem_120h_T2_R1	0.4977	0.4934	0.009
stem_120h_T2_R2	0.5005	0.4929	0.0066
stem_120h_T2_R3	0.4964	0.4962	0.0073
stem_120h_T3_R1	0.4979	0.4931	0.009
stem_120h_T3_R2	0.4965	0.4953	0.0082
stem_120h_T3_R3	0.494	0.4958	0.0103
stem_120h_T4_R1	0.4944	0.4941	0.0115
stem_120h_T4_R2	0.4946	0.4922	0.0131
stem_120h_T4_R3	0.4932	0.4944	0.0124
stem_24h_T1_R1	0.499	0.4936	0.0074
stem_24h_T1_R2	0.4987	0.4928	0.0085
stem_24h_T1_R3	0.4954	0.4957	0.0089
stem_24h_T2_R1	0.4951	0.4952	0.0097
stem_24h_T2_R2	0.4912	0.4978	0.011
stem_24h_T2_R3	0.4946	0.4962	0.0092
stem_24h_T3_R1	0.4973	0.4924	0.0103
stem_24h_T3_R2	0.4963	0.4929	0.0108
stem_24h_T3_R3	0.4965	0.4916	0.012
stem_24h_T4_R1	0.4911	0.4973	0.0116
stem_24h_T4_R2	0.4933	0.4956	0.0112
stem_24h_T4_R3	0.4963	0.493	0.0107
stem_72h_T1_R1	0.4952	0.4974	0.0074
stem_72h_T1_R2	0.4918	0.5015	0.0067
stem_72h_T1_R3	0.4907	0.5035	0.0058
stem_72h_T2_R1	0.4974	0.4953	0.0073
stem_72h_T2_R2	0.4928	0.4998	0.0075
stem_72h_T2_R3	0.4973	0.4974	0.0053
stem_72h_T3_R1	0.5014	0.4933	0.0052
stem_72h_T3_R2	0.497	0.4942	0.0089
stem_72h_T3_R3	0.4996	0.4951	0.0054
stem_72h_T4_R1	0.4957	0.4954	0.0089
stem_72h_T4_R2	0.4976	0.4925	0.0099
stem_72h_T4_R3	0.496	0.4949	0.0091
