Sample	provided	salmon_inferred	salmon_s	salmon_a	salmon_u	rseqc_inferred	rseqc_s	rseqc_a	rseqc_u	status
leaf_0h_T0_R1	auto	unstranded	50.1	49.9	0.0	unstranded	49.7	49.8	0.5	pass
leaf_0h_T0_R2	auto	unstranded	50.2	49.8	0.0	unstranded	49.6	49.8	0.6	pass
leaf_0h_T0_R3	auto	unstranded	50.3	49.7	0.0	unstranded	49.5	49.7	0.8	pass
leaf_120h_T1_R1	auto	unstranded	50.2	49.8	0.0	unstranded	49.7	49.7	0.6	pass
leaf_120h_T1_R2	auto	unstranded	50.1	49.9	0.0	unstranded	49.5	49.7	0.7	pass
leaf_120h_T1_R3	auto	unstranded	50.2	49.8	0.0	unstranded	49.7	49.7	0.6	pass
leaf_120h_T2_R1	auto	unstranded	50.0	50.0	0.0	unstranded	49.7	49.6	0.7	pass
leaf_120h_T2_R2	auto	unstranded	50.2	49.8	0.0	unstranded	49.5	49.7	0.8	pass
leaf_120h_T2_R3	auto	unstranded	50.2	49.8	0.0	unstranded	49.9	49.5	0.6	pass
leaf_120h_T3_R1	auto	unstranded	50.1	49.9	0.0	unstranded	49.7	49.8	0.6	pass
leaf_120h_T3_R2	auto	unstranded	50.2	49.8	0.0	unstranded	49.6	49.7	0.7	pass
leaf_120h_T3_R3	auto	unstranded	50.1	49.9	0.0	unstranded	49.7	49.7	0.6	pass
leaf_120h_T4_R1	auto	unstranded	50.1	49.9	0.0	unstranded	49.9	49.4	0.7	pass
leaf_120h_T4_R2	auto	unstranded	50.0	50.0	0.0	unstranded	49.9	49.3	0.8	pass
leaf_120h_T4_R3	auto	unstranded	50.2	49.8	0.0	unstranded	49.9	49.2	0.8	pass
leaf_24h_T1_R1	auto	unstranded	50.1	49.9	0.0	unstranded	49.9	49.4	0.8	pass
leaf_24h_T1_R2	auto	unstranded	50.3	49.7	0.0	unstranded	49.9	49.3	0.8	pass
leaf_24h_T1_R3	auto	unstranded	50.1	49.9	0.0	unstranded	49.5	49.9	0.6	pass
leaf_24h_T2_R1	auto	unstranded	50.2	49.8	0.0	unstranded	49.8	49.7	0.6	pass
leaf_24h_T2_R2	auto	unstranded	50.2	49.8	0.0	unstranded	49.7	49.7	0.6	pass
leaf_24h_T2_R3	auto	unstranded	50.3	49.7	0.0	unstranded	49.8	49.5	0.6	pass
leaf_24h_T3_R1	auto	unstranded	50.2	49.8	0.0	unstranded	49.6	49.7	0.7	pass
leaf_24h_T3_R2	auto	unstranded	50.2	49.8	0.0	unstranded	49.8	49.7	0.5	pass
leaf_24h_T3_R3	auto	unstranded	50.3	49.7	0.0	unstranded	49.5	49.8	0.8	pass
leaf_24h_T4_R1	auto	unstranded	50.4	49.6	0.0	unstranded	49.7	49.4	1.0	pass
leaf_24h_T4_R2	auto	unstranded	50.3	49.7	0.0	unstranded	49.6	49.8	0.6	pass
leaf_24h_T4_R3	auto	unstranded	50.2	49.8	0.0	unstranded	49.6	49.8	0.6	pass
leaf_72h_T1_R1	auto	unstranded	50.1	49.9	0.0	unstranded	49.5	49.6	0.9	pass
