level	rga_family	rga_subclass	n_proteins	percent_of_proteome
family	Non-RGA	ALL	266435	88.8914
family	Other	ALL	16793	5.6027
family	TM-CC	ALL	8105	2.7041
family	NLR	ALL	4023	1.3422
family	RLK	ALL	3037	1.0132
family	RLP	ALL	1318	0.4397
family	NLR-associated	ALL	20	0.0067
subclass	NLR	CNL	2648	0.8835
subclass	NLR	NL	786	0.2622
subclass	NLR	CN	358	0.1194
subclass	NLR	N	191	0.0637
subclass	NLR	TN	33	0.011
subclass	NLR	RNL	7	0.0023
subclass	NLR-associated	TX	20	0.0067
subclass	Non-RGA	NA	266435	88.8914
subclass	Other	Other	16793	5.6027
subclass	RLK	LRR-RLK	2992	0.9982
subclass	RLK	LysM-RLK	45	0.015
subclass	RLP	LRR-RLP	1238	0.413
subclass	RLP	LysM-RLP	80	0.0267
subclass	TM-CC	TM-CC	8105	2.7041
