ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
MSTRG.14.1	375	47	0.41352	9.210872077941893	1	0.0318568	noncoding
MSTRG.26.1	1163	102	0.33266	5.6778970718383786	1	0.266513	noncoding
MSTRG.28.1	1806	92	0.34188	4.99287357330322	1	0.251448	noncoding
MSTRG.28.2	1083	92	0.42139	4.99287357330322	1	0.5	coding
MSTRG.48.1	2141	341	0.41112	6.314721107482911	1	1	coding
MSTRG.50.1	1568	108	0.35283	9.692966651916507	1	0.221816	noncoding
MSTRG.56.1	1440	152	0.3615	8.880987358093265	1	0.726501	coding
MSTRG.57.1	1786	65	0.39677000000000007	10.486959266662598	1	0.0765639	noncoding
MSTRG.69.1	389	81	0.37313	11.165295600891113	-1	0.175718	noncoding
MSTRG.71.1	1657	82	0.35478	9.491631889343264	1	0.0878548	noncoding
MSTRG.71.2	1656	82	0.3701	9.491631889343264	1	0.104367	noncoding
MSTRG.71.3	2405	82	0.33126	9.491631889343264	1	0.0693633	noncoding
MSTRG.73.1	2590	82	0.30344	9.491631889343264	1	0.056069	noncoding
MSTRG.73.2	2591	82	0.31693000000000005	9.491631889343264	1	0.0614511	noncoding
MSTRG.73.3	2423	82	0.33462000000000003	9.491631889343264	1	0.0715641	noncoding
MSTRG.83.1	1073	94	0.28631	11.569963645935061	1	0.0695031	noncoding
MSTRG.83.2	1071	94	0.28631	11.569963645935061	1	0.0695031	noncoding
MSTRG.83.3	1050	94	0.30073000000000005	11.569963645935061	1	0.0730412	noncoding
MSTRG.84.1	669	62	0.4062	7.9794614791870115	1	0.051924	noncoding
MSTRG.84.2	1603	46	0.32178	11.711729621887208	1	0.0244475	noncoding
MSTRG.85.1	1012	102	0.42840999999999996	11.554813575744632	-1	0.205901	noncoding
MSTRG.87.1	487	121	0.326	11.999967765808105	1	0.137922	noncoding
MSTRG.88.1	391	31	0.36991999999999997	5.969651603698731	1	0.00752396	noncoding
MSTRG.91.1	2359	271	0.28571	8.888594627380371	1	0.962759	coding
MSTRG.92.1	2048	87	0.31526000000000004	11.750410652160646	1	0.0646094	noncoding
MSTRG.92.2	1410	87	0.31222000000000005	11.750410652160646	1	0.063577	noncoding
MSTRG.92.3	1962	87	0.28007000000000004	11.750410652160646	1	0.0596413	noncoding
MSTRG.92.4	3007	87	0.28174	11.750410652160646	1	0.0594911	noncoding
MSTRG.92.5	2543	86	0.28027	11.750410652160646	1	0.0586471	noncoding
MSTRG.92.6	2030	86	0.31526000000000004	11.750410652160646	1	0.0631411	noncoding
MSTRG.92.7	1952	86	0.32954	11.750410652160646	1	0.0691184	noncoding
MSTRG.94.1	1432	89	0.34767	11.999967765808105	1	0.0788134	noncoding
MSTRG.95.1	1027	65	0.30825	8.98955211639404	1	0.0304251	noncoding
MSTRG.97.1	1026	28	0.38993	8.538595771789552	1	0.00801678	noncoding
MSTRG.97.2	890	28	0.4652	11.063435554504395	1	0.0430431	noncoding
MSTRG.98.1	3645	64	0.31388000000000005	9.30112781524658	1	0.0315083	noncoding
MSTRG.106.1	655	54	0.37729	10.270538902282713	1	0.0386123	noncoding
MSTRG.111.1	800	52	0.32987	8.657346534729005	1	0.0188067	noncoding
MSTRG.112.1	4222	241	0.44635	4.7502847671508786	1	0.999973	coding
MSTRG.112.2	4219	240	0.44635	4.7502847671508786	1	0.999972	coding
MSTRG.112.3	4275	241	0.44635	4.7502847671508786	1	0.999973	coding
MSTRG.112.4	4209	240	0.44635	4.7502847671508786	1	0.999972	coding
MSTRG.112.5	4191	241	0.44635	4.7502847671508786	1	0.999973	coding
MSTRG.113.1	322	44	0.39047	6.374913597106934	1	0.0173483	noncoding
MSTRG.129.1	1848	111	0.33239	11.65596446990967	1	0.13757	noncoding
MSTRG.129.2	1573	97	0.33099999999999996	8.394057655334475	1	0.117321	noncoding
MSTRG.129.3	1200	52	0.29291	7.60718288421631	1	0.0166406	noncoding
MSTRG.129.4	3025	104	0.34997	11.925119972229005	1	0.125497	noncoding
MSTRG.129.5	1113	52	0.28955	7.60718288421631	1	0.0169067	noncoding
MSTRG.129.6	1649	54	0.36580999999999997	7.980686378479004	1	0.0231588	noncoding
MSTRG.129.7	1363	111	0.38597	11.65596446990967	1	0.27426	noncoding
MSTRG.141.1	1152	48	0.32038	11.999967765808105	1	0.0245978	noncoding
MSTRG.144.1	351	80	0.32747000000000004	8.72013874053955	1	0.0584207	noncoding
MSTRG.145.1	335	24	0.42248	9.219317436218262	-1	0.0502255	noncoding
MSTRG.159.1	1224	101	0.38367	11.999967765808105	1	0.170405	noncoding
MSTRG.159.2	1131	101	0.39348999999999995	11.999967765808105	1	0.195863	noncoding
MSTRG.163.1	339	38	0.35912000000000005	11.999967765808105	1	0.0187686	noncoding
MSTRG.165.1	697	94	0.33292	10.057277488708493	1	0.109578	noncoding
MSTRG.170.1	399	47	0.43123	9.185407066345213	-1	0.0594817	noncoding
MSTRG.173.1	328	90	0.36785	9.156525230407716	-1	0.1143	noncoding
MSTRG.174.1	458	20	0.3969	4.5112199783325195	1	0.00864819	noncoding
MSTRG.175.1	355	23	0.45650999999999997	10.176350593566895	1	0.0219852	noncoding
MSTRG.182.1	3054	656	0.43134	6.42123737335205	1	1	coding
MSTRG.183.1	432	44	0.43271000000000004	8.713305091857908	1	0.0295131	noncoding
MSTRG.190.1	361	30	0.39909999999999995	8.497787284851075	-1	0.0435484	noncoding
MSTRG.196.1	533	59	0.37724	8.936816978454594	1	0.0376388	noncoding
MSTRG.198.1	2680	51	0.27794	8.61157398223877	1	0.0184991	noncoding
MSTRG.198.2	2567	51	0.29871	8.61157398223877	1	0.0171113	noncoding
MSTRG.198.3	1149	44	0.41085	11.999967765808105	1	0.032628	noncoding
MSTRG.201.1	334	10	0.36726	5.969367408752441	1	1.39533e-05	noncoding
MSTRG.207.1	610	46	0.38852	9.781739616394038	-1	0.0986598	noncoding
MSTRG.207.2	652	52	0.36156000000000005	5.968799018859863	1	0.0240432	noncoding
MSTRG.213.1	388	69	0.39509000000000005	5.61679515838623	-1	0.0283017	noncoding
MSTRG.215.1	534	37	0.3791	5.168903923034666	1	0.015378	noncoding
MSTRG.216.1	622	94	0.39696999999999993	4.950073814392089	1	0.459161	noncoding
