SeqID,Coding_probability,Prediction
MSTRG.14.1,0.0744551420211792,Non-coding
MSTRG.26.1,0.04534631967544556,Non-coding
MSTRG.28.1,0.05582857131958008,Non-coding
MSTRG.28.2,0.21786260604858398,Non-coding
MSTRG.48.1,0.9581626169383526,Coding
MSTRG.50.1,0.013787984848022461,Non-coding
MSTRG.56.1,0.873270645737648,Coding
MSTRG.57.1,0.004320323467254639,Non-coding
MSTRG.69.1,0.1972784399986267,Non-coding
MSTRG.71.1,0.01764225959777832,Non-coding
MSTRG.71.2,0.03128254413604736,Non-coding
MSTRG.71.3,0.018186092376708984,Non-coding
MSTRG.73.1,0.016380369663238525,Non-coding
MSTRG.73.2,0.019274413585662842,Non-coding
MSTRG.73.3,0.018889129161834717,Non-coding
MSTRG.83.1,0.026165425777435303,Non-coding
MSTRG.83.2,0.02737903594970703,Non-coding
MSTRG.83.3,0.03130096197128296,Non-coding
MSTRG.84.1,0.02636164426803589,Non-coding
MSTRG.84.2,0.01631981134414673,Non-coding
MSTRG.85.1,0.2744525671005249,Non-coding
MSTRG.87.1,0.2876008152961731,Non-coding
MSTRG.88.1,0.056635260581970215,Non-coding
MSTRG.91.1,0.8755034953355789,Coding
MSTRG.92.1,0.017142653465270996,Non-coding
MSTRG.92.2,0.024922311305999756,Non-coding
MSTRG.92.3,0.014767289161682129,Non-coding
MSTRG.92.4,0.014360785484313965,Non-coding
MSTRG.92.5,0.013379454612731934,Non-coding
MSTRG.92.6,0.015955090522766113,Non-coding
MSTRG.92.7,0.01869422197341919,Non-coding
MSTRG.94.1,0.04170757532119751,Non-coding
MSTRG.95.1,0.4680759906768799,Non-coding
MSTRG.97.1,0.017084240913391113,Non-coding
MSTRG.97.2,0.000633537769317627,Non-coding
MSTRG.98.1,0.00966501235961914,Non-coding
MSTRG.106.1,0.6041132211685181,Coding
MSTRG.111.1,0.007281780242919922,Non-coding
MSTRG.112.1,0.9753425251692533,Coding
MSTRG.112.2,0.9738503210246563,Coding
MSTRG.112.3,0.9746800772845745,Coding
MSTRG.112.4,0.9742124825716019,Coding
MSTRG.112.5,0.9766873382031918,Coding
MSTRG.113.1,0.06282496452331543,Non-coding
MSTRG.129.1,0.006600141525268555,Non-coding
MSTRG.129.2,0.007577955722808838,Non-coding
MSTRG.129.3,0.002237081527709961,Non-coding
MSTRG.129.4,0.011244237422943115,Non-coding
MSTRG.129.5,0.0024834871292114258,Non-coding
MSTRG.129.6,0.010676681995391846,Non-coding
MSTRG.129.7,0.011509299278259277,Non-coding
MSTRG.141.1,0.006739318370819092,Non-coding
MSTRG.144.1,0.09169089794158936,Non-coding
MSTRG.145.1,0.08590638637542725,Non-coding
MSTRG.159.1,0.07294726371765137,Non-coding
MSTRG.159.2,0.07279336452484131,Non-coding
MSTRG.163.1,0.2744525671005249,Non-coding
MSTRG.165.1,0.2744525671005249,Non-coding
MSTRG.170.1,0.09822982549667358,Non-coding
MSTRG.173.1,0.09204715490341187,Non-coding
MSTRG.174.1,0.0025901198387145996,Non-coding
MSTRG.175.1,0.09356462955474854,Non-coding
MSTRG.182.1,0.9951289505697787,Coding
MSTRG.183.1,0.01524209976196289,Non-coding
MSTRG.190.1,0.895558163523674,Coding
MSTRG.196.1,0.11372590065002441,Non-coding
MSTRG.198.1,0.04872429370880127,Non-coding
MSTRG.198.2,0.051707565784454346,Non-coding
MSTRG.198.3,0.043341994285583496,Non-coding
MSTRG.201.1,0.007982373237609863,Non-coding
MSTRG.207.1,0.13424593210220337,Non-coding
MSTRG.207.2,0.060963213443756104,Non-coding
MSTRG.213.1,0.6250883042812347,Coding
MSTRG.215.1,0.009036719799041748,Non-coding
MSTRG.216.1,0.21452343463897705,Non-coding
MSTRG.222.1,0.9730604868382215,Coding
MSTRG.241.1,0.0945482850074768,Non-coding
MSTRG.242.1,0.10030341148376465,Non-coding
MSTRG.245.1,0.7629765570163727,Coding
MSTRG.246.1,0.00021761655807495117,Non-coding
MSTRG.247.1,0.010787367820739746,Non-coding
MSTRG.248.1,0.018164515495300293,Non-coding
MSTRG.249.1,0.011616408824920654,Non-coding
MSTRG.254.1,0.9868377540260553,Coding
MSTRG.259.1,0.009462535381317139,Non-coding
MSTRG.262.1,0.0014719963073730469,Non-coding
MSTRG.268.1,0.5013485252857208,Coding
MSTRG.270.1,0.013942718505859375,Non-coding
MSTRG.277.1,0.09100151062011719,Non-coding
MSTRG.307.1,0.8946678638458252,Coding
MSTRG.322.1,0.04956173896789551,Non-coding
MSTRG.333.1,0.05409961938858032,Non-coding
MSTRG.342.1,0.2653934359550476,Non-coding
MSTRG.348.1,0.06655937433242798,Non-coding
MSTRG.349.1,0.026997804641723633,Non-coding
MSTRG.354.1,0.5846178233623505,Coding
MSTRG.357.1,0.7682032436132431,Coding
MSTRG.358.1,0.007368922233581543,Non-coding
MSTRG.358.2,0.007271766662597656,Non-coding
MSTRG.359.1,0.0348820686340332,Non-coding
MSTRG.359.2,0.035714030265808105,Non-coding
MSTRG.368.1,0.04658341407775879,Non-coding
MSTRG.368.2,0.03456306457519531,Non-coding
MSTRG.377.1,0.05987781286239624,Non-coding
MSTRG.377.2,0.08317303657531738,Non-coding
MSTRG.377.3,0.06637787818908691,Non-coding
MSTRG.377.4,0.2744525671005249,Non-coding
MSTRG.377.5,0.1531679630279541,Non-coding
MSTRG.377.6,0.14202487468719482,Non-coding
MSTRG.377.7,0.2388196587562561,Non-coding
MSTRG.379.1,0.06357967853546143,Non-coding
MSTRG.380.1,0.006937086582183838,Non-coding
MSTRG.381.1,0.9499717317521572,Coding
MSTRG.386.1,0.9999632108920196,Coding
MSTRG.386.2,0.999953388585709,Coding
MSTRG.386.3,0.9999710934935138,Coding
MSTRG.386.4,0.9999626847675245,Coding
MSTRG.386.5,0.9990432964987122,Coding
MSTRG.397.1,0.9991103939828463,Coding
MSTRG.400.1,0.3965153694152832,Non-coding
MSTRG.404.1,0.0020537972450256348,Non-coding
MSTRG.407.1,0.32988613843917847,Non-coding
MSTRG.410.1,0.0020222067832946777,Non-coding
MSTRG.419.1,0.020095109939575195,Non-coding
MSTRG.422.1,0.013540148735046387,Non-coding
MSTRG.422.2,0.018987536430358887,Non-coding
MSTRG.422.3,0.030231595039367676,Non-coding
MSTRG.422.4,0.055890440940856934,Non-coding
MSTRG.438.1,0.00020259618759155273,Non-coding
MSTRG.440.1,0.029246270656585693,Non-coding
MSTRG.441.1,0.1475813388824463,Non-coding
MSTRG.442.1,0.7691731303930283,Coding
MSTRG.442.2,0.28004640340805054,Non-coding
MSTRG.444.1,0.5495066940784454,Coding
MSTRG.445.1,0.4316883087158203,Non-coding
MSTRG.451.1,0.05391055345535278,Non-coding
MSTRG.452.1,0.19225937128067017,Non-coding
MSTRG.454.1,0.05732506513595581,Non-coding
MSTRG.460.1,0.03767138719558716,Non-coding
MSTRG.460.2,0.23480141162872314,Non-coding
MSTRG.460.3,0.23913294076919556,Non-coding
MSTRG.460.4,0.036074161529541016,Non-coding
MSTRG.463.1,0.024606525897979736,Non-coding
MSTRG.470.1,0.19875621795654297,Non-coding
MSTRG.471.1,0.6849978864192963,Coding
MSTRG.481.1,0.5801800489425659,Coding
MSTRG.498.1,0.2744525671005249,Non-coding
MSTRG.500.1,0.047407448291778564,Non-coding
MSTRG.501.1,0.02517002820968628,Non-coding
MSTRG.502.1,0.03389161825180054,Non-coding
MSTRG.503.1,0.05503249168395996,Non-coding
MSTRG.504.1,0.9397780150175095,Coding
MSTRG.506.1,0.08644431829452515,Non-coding
MSTRG.507.1,0.36214423179626465,Non-coding
MSTRG.511.1,0.05308276414871216,Non-coding
MSTRG.511.2,0.05907785892486572,Non-coding
MSTRG.511.3,0.05698901414871216,Non-coding
