SeqID,Coding_probability,Prediction
MSTRG.183.1_rev,0.10441702604293823,Non-coding
MSTRG.201.1_rev,0.43378329277038574,Non-coding
MSTRG.248.1_rev,0.004753530025482178,Non-coding
MSTRG.249.1_rev,0.06065964698791504,Non-coding
MSTRG.322.1_rev,0.049035072326660156,Non-coding
MSTRG.500.1_rev,0.28789788484573364,Non-coding
MSTRG.709.1_rev,0.1513005495071411,Non-coding
MSTRG.814.1_rev,0.07288795709609985,Non-coding
MSTRG.898.1_rev,0.05952483415603638,Non-coding
MSTRG.929.1_rev,0.07023298740386963,Non-coding
MSTRG.1034.1_rev,0.0419691801071167,Non-coding
MSTRG.1093.1_rev,0.002996504306793213,Non-coding
MSTRG.1152.1_rev,0.8603900223970413,Coding
MSTRG.1204.1_rev,0.49111640453338623,Non-coding
MSTRG.1368.1_rev,0.0028162598609924316,Non-coding
MSTRG.1374.1_rev,0.4233699440956116,Non-coding
MSTRG.1378.1_rev,0.758021280169487,Coding
MSTRG.1474.1_rev,0.14368605613708496,Non-coding
MSTRG.1523.1_rev,0.04951584339141846,Non-coding
MSTRG.1549.1_rev,0.011776983737945557,Non-coding
MSTRG.1700.1_rev,0.05797642469406128,Non-coding
MSTRG.1731.1_rev,0.0014061331748962402,Non-coding
MSTRG.1799.1_rev,0.07393908500671387,Non-coding
MSTRG.1819.1_rev,0.43221336603164673,Non-coding
MSTRG.2100.1_rev,0.13922280073165894,Non-coding
MSTRG.2153.1_rev,0.017086565494537354,Non-coding
MSTRG.2347.1_rev,0.10207504034042358,Non-coding
MSTRG.2528.1_rev,0.8121129870414734,Coding
MSTRG.2537.1_rev,0.1600048542022705,Non-coding
MSTRG.2648.1_rev,0.028408408164978027,Non-coding
MSTRG.2820.1_rev,0.49370861053466797,Non-coding
MSTRG.2821.1_rev,0.0038740038871765137,Non-coding
MSTRG.2978.1_rev,0.9864620715379715,Coding
MSTRG.2996.1_rev,0.07043904066085815,Non-coding
MSTRG.3052.1_rev,3.063678741455078e-05,Non-coding
MSTRG.3179.1_rev,0.0241774320602417,Non-coding
MSTRG.3334.1_rev,0.004165172576904297,Non-coding
MSTRG.3335.1_rev,0.982911454513669,Coding
MSTRG.3348.1_rev,0.012131929397583008,Non-coding
MSTRG.3411.1_rev,0.5010276436805725,Coding
MSTRG.3591.1_rev,0.9499637000262737,Coding
MSTRG.3641.1_rev,0.08547806739807129,Non-coding
MSTRG.3887.1_rev,0.007078945636749268,Non-coding
MSTRG.3931.1_rev,0.00044268369674682617,Non-coding
MSTRG.3953.1_rev,0.0358281135559082,Non-coding
MSTRG.4070.1_rev,0.07964307069778442,Non-coding
MSTRG.4146.1_rev,0.058615267276763916,Non-coding
MSTRG.4169.1_rev,0.28445667028427124,Non-coding
MSTRG.4210.1_rev,0.03196144104003906,Non-coding
MSTRG.4347.1_rev,0.9319817274808884,Coding
MSTRG.4475.1_rev,0.046092867851257324,Non-coding
MSTRG.4491.1_rev,0.00011849403381347656,Non-coding
MSTRG.4575.1_rev,0.00560605525970459,Non-coding
MSTRG.4756.1_rev,0.012696981430053711,Non-coding
MSTRG.4813.1_rev,0.07859224081039429,Non-coding
MSTRG.4938.1_rev,0.0580979585647583,Non-coding
MSTRG.4989.1_rev,0.02301889657974243,Non-coding
MSTRG.5102.1_rev,0.0034729838371276855,Non-coding
MSTRG.5107.1_rev,0.048506081104278564,Non-coding
MSTRG.5163.1_rev,0.0022295713424682617,Non-coding
MSTRG.5200.1_rev,0.7669893801212311,Coding
MSTRG.5283.1_rev,0.06604480743408203,Non-coding
MSTRG.5311.1_rev,0.006901919841766357,Non-coding
MSTRG.5322.1_rev,0.9801976773887873,Coding
MSTRG.5550.1_rev,0.03402513265609741,Non-coding
MSTRG.5686.1_rev,0.021568715572357178,Non-coding
MSTRG.5687.1_rev,0.016749441623687744,Non-coding
MSTRG.5776.1_rev,0.059980928897857666,Non-coding
MSTRG.5812.1_rev,0.0677366852760315,Non-coding
MSTRG.5992.1_rev,0.8883235305547714,Coding
MSTRG.6030.1_rev,0.011326253414154053,Non-coding
MSTRG.6125.1_rev,0.7167165279388428,Coding
MSTRG.6148.1_rev,0.16072356700897217,Non-coding
MSTRG.6334.1_rev,0.18294364213943481,Non-coding
MSTRG.6348.1_rev,0.2692906856536865,Non-coding
MSTRG.6399.1_rev,0.005020797252655029,Non-coding
MSTRG.6443.1_rev,0.9704767689108849,Coding
MSTRG.6456.1_rev,0.34707510471343994,Non-coding
MSTRG.6473.1_rev,0.7961868196725845,Coding
MSTRG.6499.1_rev,0.02146214246749878,Non-coding
MSTRG.6537.1_rev,0.2521183490753174,Non-coding
