name	kmerScore_1mer	kmerScore_2mer	kmerScore_3mer	kmerScore_6mer	kmerScore_9mer	kmerScore_12mer	ORF_cover	RNA_size	coding_potential	label
MSTRG.100019.1	0.493748	0.489955	0.497603	0.515715	0.54122	0.394455	0.202194357366771	638	0.088	0
MSTRG.100021.1	0.500486	0.504432	0.527932	0.546237	0.581527	0.48513	0.685714285714286	805	0.652	1
MSTRG.10003.1	0.492199	0.480881	0.467721	0.436742	0.398957	0.267638	0.198487712665406	529	0.002	0
MSTRG.10005.1	0.49549	0.489335	0.489492	0.473798	0.404846	0.128028	0.597972972972973	296	0.002	0
MSTRG.100050.1	0.512622	0.527783	0.518188	0.523913	0.530674	0.48476	0.980099502487562	603	0.726	1
MSTRG.100054.1	0.511145	0.522632	0.520943	0.543506	0.563146	0.442531	0.148631029986962	2301	0	0
MSTRG.100061.1	0.50543	0.512532	0.528299	0.554187	0.589043	0.558904	0.721212121212121	990	0.954	1
MSTRG.100061.2	0.504255	0.509711	0.531516	0.559225	0.602512	0.56732	0.86280487804878	984	0.98	1
MSTRG.100062.1	0.492343	0.484594	0.48557	0.480079	0.498911	0.569711	0.999297259311314	1423	0.864	1
MSTRG.100064.1	0.515178	0.531721	0.547464	0.565882	0.575046	0.533884	0.327340359578425	1613	0.56	1
MSTRG.10007.1	0.509371	0.520391	0.555595	0.597692	0.623206	0.348741	0.686538461538462	520	0.012	0
MSTRG.10007.2	0.50803	0.517013	0.548877	0.592417	0.614108	0.314759	0.598503740648379	401	0.016	0
MSTRG.10007.3	0.507311	0.515649	0.54695	0.585554	0.609894	0.333674	0.563002680965147	373	0.014	0
MSTRG.10008.1	0.503651	0.507729	0.486829	0.466958	0.473516	0.279714	0.53448275862069	348	0.026	0
MSTRG.100089.1	0.521713	0.545552	0.569078	0.605732	0.608536	0.4942	0.651474530831099	373	0.116	0
MSTRG.10009.1	0.51611	0.532921	0.535964	0.574583	0.603273	0.542367	0.846153846153846	468	0.73	1
MSTRG.1001.1	0.523721	0.545158	0.561415	0.611008	0.634506	0.541344	0.96969696969697	297	0.35	0
MSTRG.10011.1	0.487865	0.472635	0.44801	0.41048	0.39839	0.322298	0.169014084507042	1207	0.002	0
MSTRG.100119.1	0.506802	0.51438	0.503553	0.493069	0.50412	0.356455	0.351851851851852	810	0.172	0
MSTRG.10012.1	0.49212	0.483818	0.477599	0.479383	0.477861	0.427457	0.211304347826087	1150	0.074	0
MSTRG.100123.1	0.499464	0.499076	0.506168	0.520792	0.556876	0.490573	0.280459770114943	1305	0.734	1
MSTRG.10013.1	0.50217	0.507634	0.528855	0.554712	0.564852	0.364618	0.786324786324786	351	0.016	0
MSTRG.100145.1	0.513805	0.530217	0.536171	0.555045	0.569739	0.473902	0.103344982526211	2003	0.002	0
MSTRG.100146.1	0.494925	0.492241	0.486972	0.495753	0.521539	0.392566	0.194078947368421	912	0.012	0
MSTRG.100146.2	0.496783	0.495347	0.492653	0.519963	0.548709	0.360805	0.258116883116883	616	0.064	0
MSTRG.100146.3	0.49847	0.499307	0.51509	0.551709	0.582066	0.529187	0.29305912596401	389	0.38	0
MSTRG.10015.1	0.519091	0.540673	0.550114	0.582419	0.602839	0.531425	0.485915492957746	852	0.668	1
MSTRG.100161.1	0.496972	0.496313	0.496889	0.493542	0.514093	0.838248	0.564220183486238	218	0.65	1
MSTRG.100162.1	0.494906	0.488796	0.473815	0.440497	0.426894	0.313868	0.622641509433962	318	0.03	0
MSTRG.100170.1	0.519022	0.541525	0.551629	0.597365	0.617174	0.432128	0.446511627906977	215	0.074	0
MSTRG.100175.1	0.480429	0.454887	0.427844	0.405348	0.367718	0.202162	0.210084033613445	357	0.008	0
MSTRG.100178.1	0.506355	0.51247	0.521103	0.534707	0.542862	0.495614	0.736011477761836	697	0.708	1
MSTRG.100198.1	0.516555	0.534352	0.540097	0.578695	0.585946	0.553763	0.441330998248686	571	0.576	1
MSTRG.10020.1	0.491719	0.484575	0.446227	0.426005	0.444531	0.246593	0.369565217391304	276	0.014	0
MSTRG.100202.1	0.48913	0.478925	0.461591	0.423661	0.366642	0.122999	0.301775147928994	507	0	0
MSTRG.10021.1	0.491453	0.48148	0.470621	0.453439	0.446652	0.394268	0.373873873873874	666	0.12	0
MSTRG.10021.2	0.491453	0.48148	0.470621	0.453439	0.446652	0.394268	0.314791403286979	791	0.05	0
MSTRG.100216.1	0.511247	0.525007	0.534609	0.535891	0.516255	0.394237	0.524830699774266	886	0.224	0
MSTRG.100218.1	0.512145	0.529268	0.525432	0.531566	0.542622	0.460402	0.155990957045968	1327	0.004	0
MSTRG.100218.2	0.484837	0.466339	0.435882	0.399371	0.376297	0.264161	0.0826446280991736	2541	0	0
MSTRG.100218.3	0.484837	0.466339	0.435882	0.399371	0.376297	0.264161	0.0826446280991736	2541	0	0
MSTRG.100223.1	0.499338	0.496604	0.476749	0.467471	0.471709	0.332583	0.240331491712707	362	0.03	0
MSTRG.10024.1	0.514355	0.531155	0.517262	0.52266	0.503288	0.376971	0.241435562805873	1839	0.158	0
MSTRG.100244.1	0.524728	0.548122	0.57886	0.633347	0.618639	0.372566	0.33495145631068	206	0.02	0
MSTRG.100256.1	0.498896	0.496997	0.484169	0.463154	0.473303	0.404359	0.415478615071283	491	0.208	0
MSTRG.100265.1	0.507334	0.514094	0.497473	0.47674	0.479972	0.427969	0.308445532435741	817	0.148	0
MSTRG.100271.1	0.512777	0.519954	0.540371	0.59501	0.650744	0.575303	0.735042735042735	351	0.562	1
MSTRG.100280.1	0.510942	0.524882	0.516437	0.531942	0.528309	0.35441	0.486842105263158	228	0.032	0
MSTRG.100281.1	0.494047	0.488703	0.500731	0.517081	0.536309	0.381365	0.180873180873181	962	0.008	0
MSTRG.100285.1	0.508772	0.52079	0.517672	0.536272	0.523422	0.431965	0.184956843403206	1622	0.002	0
MSTRG.100285.2	0.508772	0.52079	0.517672	0.536272	0.523422	0.431965	0.185185185185185	1620	0.002	0
MSTRG.100285.3	0.508772	0.52079	0.517672	0.536272	0.523422	0.431965	0.200803212851406	1494	0.156	0
MSTRG.100285.4	0.508772	0.52079	0.517672	0.536272	0.523422	0.431965	0.19723865877712	1521	0.002	0
MSTRG.10029.1	0.488677	0.474377	0.453576	0.423472	0.47247	0.375408	0.228658536585366	328	0.022	0
MSTRG.100291.1	0.490366	0.481616	0.484887	0.475246	0.46228	0.34231	0.115697990222705	1841	0	0
MSTRG.100291.2	0.490366	0.481616	0.484887	0.475246	0.46228	0.34231	0.117614577581447	1811	0	0
MSTRG.100296.1	0.525068	0.553015	0.564439	0.600155	0.626971	0.489193	0.33419689119171	772	0.258	0
MSTRG.100305.1	0.510559	0.523089	0.529623	0.539971	0.556554	0.462113	0.373412362404742	1181	0.312	0
