#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
MSTRG.183.1_rev	432	33	0.35458999999999996	4.0500284194946286	1	0.0179958	noncoding
MSTRG.201.1_rev	334	103	0.35406	11.953679466247557	-1	0.166682	noncoding
MSTRG.248.1_rev	582	33	0.32736	7.998028373718262	1	0.00723644	noncoding
MSTRG.249.1_rev	510	65	0.27662000000000003	6.368945503234863	1	0.0407154	noncoding
MSTRG.322.1_rev	219	38	0.31496999999999997	11.0533784866333	1	0.0195805	noncoding
MSTRG.500.1_rev	410	79	0.41675999999999996	11.291589164733885	1	0.16794	noncoding
MSTRG.709.1_rev	349	30	0.33497999999999994	9.369851112365723	1	0.00936337	noncoding
MSTRG.814.1_rev	231	30	0.39452	11.728491401672365	1	0.0174768	noncoding
MSTRG.898.1_rev	294	16	0.39032	9.519997978210448	1	0.00613723	noncoding
MSTRG.929.1_rev	409	59	0.34146000000000004	10.739288520812988	1	0.0379177	noncoding
MSTRG.1034.1_rev	411	35	0.44729	4.3690088272094725	1	0.0356038	noncoding
MSTRG.1093.1_rev	842	67	0.31993000000000005	9.251293754577635	1	0.0358549	noncoding
MSTRG.1152.1_rev	1199	43	0.40171	4.649338722229005	1	0.0370852	noncoding
MSTRG.1204.1_rev	206	9	0.34669	7.933237648010254	-1	0.0529614	noncoding
MSTRG.1368.1_rev	382	24	0.40156000000000003	8.364789009094238	1	0.00665392	noncoding
MSTRG.1374.1_rev	1084	71	0.36260000000000003	8.00363712310791	1	0.0521852	noncoding
MSTRG.1378.1_rev	376	87	0.32944999999999997	11.62959690093994	-1	0.164913	noncoding
MSTRG.1474.1_rev	461	32	0.31262999999999996	5.987385368347168	-1	0.0488804	noncoding
MSTRG.1523.1_rev	324	35	0.40521	6.037858390808105	1	0.012297	noncoding
MSTRG.1549.1_rev	310	15	0.35306	10.255904579162596	1	0.00711799	noncoding
MSTRG.1700.1_rev	416	65	0.46894	11.30106601715088	1	0.248615	noncoding
MSTRG.1731.1_rev	238	18	0.36799	5.272066688537596	1	0.00422502	noncoding
MSTRG.1799.1_rev	331	67	0.42260000000000003	7.727738380432128	1	0.0804444	noncoding
MSTRG.1819.1_rev	878	91	0.39533999999999997	6.35604305267334	1	0.24755	noncoding
MSTRG.2100.1_rev	443	31	0.30676000000000003	6.206727027893066	-1	0.0584921	noncoding
MSTRG.2153.1_rev	368	43	0.31031	9.517548179626463	1	0.0157796	noncoding
MSTRG.2347.1_rev	244	18	0.35904	4.52963581085205	1	0.00559404	noncoding
MSTRG.2528.1_rev	518	30	0.34362000000000004	4.52963581085205	1	0.0109297	noncoding
MSTRG.2537.1_rev	727	78	0.33000999999999997	10.262673759460448	1	0.0635934	noncoding
MSTRG.2648.1_rev	297	52	0.39113	8.979301643371585	1	0.0308433	noncoding
MSTRG.2820.1_rev	620	32	0.35496	6.692473030090333	1	0.00661332	noncoding
MSTRG.2821.1_rev	722	47	0.34343	5.794132804870605	1	0.0171482	noncoding
MSTRG.2978.1_rev	352	91	0.47041	5.55262393951416	-1	0.0497786	noncoding
MSTRG.2996.1_rev	387	9	0.35223000000000004	6.49137668609619	-1	0.0245675	noncoding
MSTRG.3052.1_rev	1007	49	0.37146	9.301643562316894	1	0.0242721	noncoding
MSTRG.3179.1_rev	323	31	0.35575999999999997	9.51658115386963	-1	0.108578	noncoding
MSTRG.3334.1_rev	995	52	0.34876999999999997	5.137812995910643	1	0.030188	noncoding
MSTRG.3335.1_rev	546	165	0.46589	5.785493278503417	-1	0.159162	noncoding
MSTRG.3348.1_rev	407	33	0.35082	10.463879585266113	1	0.0150246	noncoding
MSTRG.3411.1_rev	406	48	0.45817	11.122166252136228	1	0.0968019	noncoding
MSTRG.3591.1_rev	1179	274	0.45855999999999997	7.735809516906738	1	0.99998	coding
MSTRG.3641.1_rev	421	55	0.32221	9.383196067810058	1	0.0238913	noncoding
MSTRG.3887.1_rev	572	43	0.40104000000000006	7.776837348937989	1	0.0169401	noncoding
MSTRG.3931.1_rev	305	23	0.32117999999999997	5.940322685241699	1	0.00453532	noncoding
MSTRG.3953.1_rev	228	46	0.41974000000000006	9.819840431213379	1	0.0381285	noncoding
MSTRG.4070.1_rev	352	58	0.35298999999999997	8.356408119201664	1	0.026665	noncoding
MSTRG.4146.1_rev	583	41	0.36955	9.218092536926267	1	0.0162404	noncoding
