sequence_name	coding_score	classification
MSTRG.183.1_rev	0.29776	noncoding
MSTRG.201.1_rev	0.19053	noncoding
MSTRG.248.1_rev	0.09265	noncoding
MSTRG.249.1_rev	0.10348	noncoding
MSTRG.322.1_rev	0.55209	coding
MSTRG.500.1_rev	0.07060	noncoding
MSTRG.709.1_rev	0.34449	noncoding
MSTRG.814.1_rev	0.34095	noncoding
MSTRG.898.1_rev	0.07741	noncoding
MSTRG.929.1_rev	0.10149	noncoding
MSTRG.1034.1_rev	0.55370	coding
MSTRG.1093.1_rev	0.02469	noncoding
MSTRG.1152.1_rev	0.48410	noncoding
MSTRG.1204.1_rev	0.17490	noncoding
MSTRG.1368.1_rev	0.07901	noncoding
MSTRG.1374.1_rev	0.16082	noncoding
MSTRG.1378.1_rev	0.92929	coding
MSTRG.1474.1_rev	0.30394	noncoding
MSTRG.1523.1_rev	0.34322	noncoding
MSTRG.1549.1_rev	0.06902	noncoding
MSTRG.1700.1_rev	0.18455	noncoding
MSTRG.1731.1_rev	0.24437	noncoding
MSTRG.1799.1_rev	0.46443	noncoding
MSTRG.1819.1_rev	0.87246	coding
MSTRG.2100.1_rev	0.32382	noncoding
MSTRG.2153.1_rev	0.02199	noncoding
MSTRG.2347.1_rev	0.38358	noncoding
MSTRG.2528.1_rev	0.03212	noncoding
MSTRG.2537.1_rev	0.14685	noncoding
MSTRG.2648.1_rev	0.04028	noncoding
MSTRG.2820.1_rev	0.12273	noncoding
MSTRG.2821.1_rev	0.13293	noncoding
MSTRG.2978.1_rev	0.96324	coding
MSTRG.2996.1_rev	0.10882	noncoding
MSTRG.3052.1_rev	0.01976	noncoding
MSTRG.3179.1_rev	0.03351	noncoding
MSTRG.3334.1_rev	0.10681	noncoding
MSTRG.3335.1_rev	0.99385	coding
MSTRG.3348.1_rev	0.04410	noncoding
MSTRG.3411.1_rev	0.43983	noncoding
MSTRG.3591.1_rev	0.99945	coding
MSTRG.3641.1_rev	0.05493	noncoding
MSTRG.3887.1_rev	0.07046	noncoding
MSTRG.3931.1_rev	0.04124	noncoding
MSTRG.3953.1_rev	0.12402	noncoding
MSTRG.4070.1_rev	0.03997	noncoding
MSTRG.4146.1_rev	0.10096	noncoding
MSTRG.4169.1_rev	0.21720	noncoding
MSTRG.4210.1_rev	0.25783	noncoding
MSTRG.4347.1_rev	0.99792	coding
MSTRG.4475.1_rev	0.85044	coding
MSTRG.4491.1_rev	0.09248	noncoding
MSTRG.4575.1_rev	0.47116	noncoding
MSTRG.4756.1_rev	0.39042	noncoding
MSTRG.4813.1_rev	0.05903	noncoding
MSTRG.4938.1_rev	0.20415	noncoding
MSTRG.4989.1_rev	0.13436	noncoding
MSTRG.5102.1_rev	0.05294	noncoding
MSTRG.5107.1_rev	0.08840	noncoding
MSTRG.5163.1_rev	0.17308	noncoding
MSTRG.5200.1_rev	0.49940	noncoding
MSTRG.5283.1_rev	0.07307	noncoding
MSTRG.5311.1_rev	0.15944	noncoding
MSTRG.5322.1_rev	0.99797	coding
MSTRG.5550.1_rev	0.07200	noncoding
MSTRG.5686.1_rev	0.44993	noncoding
MSTRG.5687.1_rev	0.03675	noncoding
MSTRG.5776.1_rev	0.11407	noncoding
MSTRG.5812.1_rev	0.04088	noncoding
MSTRG.5992.1_rev	0.29252	noncoding
MSTRG.6030.1_rev	0.30199	noncoding
MSTRG.6125.1_rev	0.39364	noncoding
MSTRG.6148.1_rev	0.04866	noncoding
MSTRG.6334.1_rev	0.80351	coding
MSTRG.6348.1_rev	0.56914	coding
MSTRG.6399.1_rev	0.24906	noncoding
MSTRG.6443.1_rev	0.99765	coding
MSTRG.6456.1_rev	0.05119	noncoding
MSTRG.6473.1_rev	0.71217	coding
MSTRG.6499.1_rev	0.17315	noncoding
MSTRG.6537.1_rev	0.44651	noncoding
MSTRG.6691.1_rev	0.55419	coding
MSTRG.6708.1_rev	0.13104	noncoding
MSTRG.6792.1_rev	0.98542	coding
