                Seq predicted  prediction
    MSTRG.183.1_rev  1:lncRNA       0.863
    MSTRG.201.1_rev  1:lncRNA       0.863
    MSTRG.248.1_rev  1:lncRNA       0.852
    MSTRG.249.1_rev  1:lncRNA       0.852
    MSTRG.322.1_rev  1:lncRNA       0.863
    MSTRG.500.1_rev  1:lncRNA       0.863
    MSTRG.709.1_rev  1:lncRNA       0.863
    MSTRG.814.1_rev  1:lncRNA       0.863
    MSTRG.898.1_rev  1:lncRNA       0.863
    MSTRG.929.1_rev  1:lncRNA       0.863
   MSTRG.1034.1_rev  1:lncRNA       0.863
   MSTRG.1093.1_rev  1:lncRNA       0.852
   MSTRG.1152.1_rev  1:lncRNA       0.852
   MSTRG.1204.1_rev  1:lncRNA       0.863
   MSTRG.1368.1_rev  1:lncRNA       0.863
   MSTRG.1374.1_rev  1:lncRNA       0.852
   MSTRG.1378.1_rev  1:lncRNA       0.863
   MSTRG.1474.1_rev  1:lncRNA       0.863
   MSTRG.1523.1_rev  1:lncRNA       0.863
   MSTRG.1549.1_rev  1:lncRNA       0.863
   MSTRG.1700.1_rev  1:lncRNA       0.863
   MSTRG.1731.1_rev  1:lncRNA       0.863
   MSTRG.1799.1_rev  1:lncRNA       0.863
   MSTRG.1819.1_rev  1:lncRNA       0.852
   MSTRG.2100.1_rev  1:lncRNA       0.863
   MSTRG.2153.1_rev  1:lncRNA       0.863
   MSTRG.2347.1_rev  1:lncRNA       0.863
   MSTRG.2528.1_rev  1:lncRNA       0.852
   MSTRG.2537.1_rev  1:lncRNA       0.852
   MSTRG.2648.1_rev  1:lncRNA       0.863
   MSTRG.2820.1_rev  1:lncRNA       0.852
   MSTRG.2821.1_rev  1:lncRNA       0.852
   MSTRG.2978.1_rev  1:lncRNA       0.863
   MSTRG.2996.1_rev  1:lncRNA       0.863
   MSTRG.3052.1_rev  1:lncRNA       0.852
   MSTRG.3179.1_rev  1:lncRNA       0.863
   MSTRG.3334.1_rev  1:lncRNA       0.852
   MSTRG.3335.1_rev    2:mRNA       1.000
   MSTRG.3348.1_rev  1:lncRNA       0.863
   MSTRG.3411.1_rev  1:lncRNA       0.863
   MSTRG.3591.1_rev    2:mRNA       1.000
   MSTRG.3641.1_rev  1:lncRNA       0.863
   MSTRG.3887.1_rev  1:lncRNA       0.852
   MSTRG.3931.1_rev  1:lncRNA       0.863
   MSTRG.3953.1_rev  1:lncRNA       0.863
   MSTRG.4070.1_rev  1:lncRNA       0.863
   MSTRG.4146.1_rev  1:lncRNA       0.852
   MSTRG.4169.1_rev  1:lncRNA       0.863
   MSTRG.4210.1_rev  1:lncRNA       0.863
   MSTRG.4347.1_rev    2:mRNA       1.000
   MSTRG.4475.1_rev  1:lncRNA       0.782
   MSTRG.4575.1_rev  1:lncRNA       0.852
   MSTRG.4756.1_rev  1:lncRNA       0.863
   MSTRG.4813.1_rev  1:lncRNA       0.863
   MSTRG.4938.1_rev  1:lncRNA       0.782
   MSTRG.4989.1_rev  1:lncRNA       0.863
   MSTRG.5102.1_rev  1:lncRNA       0.863
   MSTRG.5107.1_rev  1:lncRNA       0.852
   MSTRG.5163.1_rev  1:lncRNA       0.852
   MSTRG.5200.1_rev  1:lncRNA       0.852
   MSTRG.5283.1_rev  1:lncRNA       0.863
   MSTRG.5311.1_rev  1:lncRNA       0.863
   MSTRG.5322.1_rev    2:mRNA       1.000
   MSTRG.5550.1_rev  1:lncRNA       0.863
   MSTRG.5686.1_rev  1:lncRNA       0.852
   MSTRG.5687.1_rev  1:lncRNA       0.863
   MSTRG.5776.1_rev  1:lncRNA       0.863
   MSTRG.5992.1_rev  1:lncRNA       0.863
   MSTRG.6030.1_rev  1:lncRNA       0.852
   MSTRG.6125.1_rev  1:lncRNA       0.929
   MSTRG.6148.1_rev  1:lncRNA       0.863
   MSTRG.6334.1_rev    2:mRNA       1.000
   MSTRG.6348.1_rev  1:lncRNA       0.863
   MSTRG.6399.1_rev  1:lncRNA       0.863
   MSTRG.6443.1_rev    2:mRNA       1.000
   MSTRG.6456.1_rev  1:lncRNA       0.863
   MSTRG.6473.1_rev  1:lncRNA       0.863
   MSTRG.6499.1_rev  1:lncRNA       0.863
   MSTRG.6537.1_rev  1:lncRNA       0.863
   MSTRG.6691.1_rev  1:lncRNA       0.863
   MSTRG.6708.1_rev  1:lncRNA       0.863
   MSTRG.6792.1_rev  1:lncRNA       0.697
   MSTRG.6880.1_rev  1:lncRNA       0.852
   MSTRG.6884.1_rev  1:lncRNA       0.863
   MSTRG.7184.1_rev  1:lncRNA       0.782
   MSTRG.7189.1_rev  1:lncRNA       0.782
   MSTRG.7294.1_rev  1:lncRNA       0.852
   MSTRG.7367.1_rev  1:lncRNA       0.863
   MSTRG.7460.1_rev  1:lncRNA       0.863
   MSTRG.7463.1_rev  1:lncRNA       0.863
   MSTRG.7615.1_rev  1:lncRNA       0.863
   MSTRG.7624.1_rev  1:lncRNA       0.863
   MSTRG.7756.1_rev  1:lncRNA       0.863
   MSTRG.7788.1_rev  1:lncRNA       0.863
   MSTRG.7814.1_rev  1:lncRNA       0.852
   MSTRG.7823.1_rev  1:lncRNA       0.863
   MSTRG.8409.1_rev  1:lncRNA       0.863
   MSTRG.8903.1_rev  1:lncRNA       0.852
   MSTRG.9048.1_rev  1:lncRNA       0.863
   MSTRG.9087.1_rev    2:mRNA       1.000
   MSTRG.9172.1_rev  1:lncRNA       0.852
   MSTRG.9175.1_rev  1:lncRNA       0.863
   MSTRG.9176.1_rev  1:lncRNA       0.863
   MSTRG.9414.1_rev    2:mRNA       1.000
   MSTRG.9621.1_rev  1:lncRNA       0.863
   MSTRG.9720.1_rev  1:lncRNA       0.852
   MSTRG.9730.1_rev  1:lncRNA       0.863
   MSTRG.9833.1_rev  1:lncRNA       0.863
   MSTRG.9871.1_rev  1:lncRNA       0.863
   MSTRG.9884.1_rev  1:lncRNA       0.863
   MSTRG.9949.1_rev  1:lncRNA       0.852
   MSTRG.9989.1_rev  1:lncRNA       0.863
  MSTRG.10029.1_rev  1:lncRNA       0.863
  MSTRG.10093.1_rev  1:lncRNA       0.863
  MSTRG.10294.1_rev  1:lncRNA       0.852
  MSTRG.10303.1_rev  1:lncRNA       0.863
  MSTRG.10305.1_rev  1:lncRNA       0.863
  MSTRG.10559.1_rev  1:lncRNA       0.863
  MSTRG.10665.1_rev  1:lncRNA       0.852
  MSTRG.10710.1_rev  1:lncRNA       0.863
  MSTRG.10737.1_rev  1:lncRNA       0.852
  MSTRG.10986.1_rev  1:lncRNA       0.852
  MSTRG.11040.1_rev  1:lncRNA       0.852
  MSTRG.11053.1_rev  1:lncRNA       0.863
  MSTRG.11140.1_rev  1:lncRNA       0.825
  MSTRG.11204.1_rev  1:lncRNA       0.863
  MSTRG.11406.1_rev  1:lncRNA       0.863
  MSTRG.11498.1_rev  1:lncRNA       0.852
  MSTRG.11517.1_rev  1:lncRNA       0.852
  MSTRG.11579.1_rev    2:mRNA       1.000
  MSTRG.11709.1_rev  1:lncRNA       0.852
  MSTRG.11751.1_rev  1:lncRNA       0.863
  MSTRG.11829.1_rev  1:lncRNA       0.863
  MSTRG.12059.1_rev  1:lncRNA       0.863
  MSTRG.12158.1_rev  1:lncRNA       0.863
  MSTRG.12241.1_rev  1:lncRNA       0.852
  MSTRG.12342.1_rev  1:lncRNA       0.852
  MSTRG.12354.1_rev  1:lncRNA       0.863
  MSTRG.12410.1_rev  1:lncRNA       0.852
  MSTRG.12469.1_rev  1:lncRNA       0.863
  MSTRG.12724.1_rev  1:lncRNA       0.863
  MSTRG.12881.1_rev  1:lncRNA       0.863
  MSTRG.12930.1_rev  1:lncRNA       0.863
  MSTRG.13072.1_rev  1:lncRNA       0.863
  MSTRG.13128.1_rev  1:lncRNA       0.852
  MSTRG.13273.1_rev  1:lncRNA       0.863
  MSTRG.13356.1_rev  1:lncRNA       0.852
  MSTRG.13616.1_rev  1:lncRNA       0.863
  MSTRG.13728.1_rev  1:lncRNA       0.863
  MSTRG.14141.1_rev    2:mRNA       1.000
  MSTRG.14204.1_rev  1:lncRNA       0.863
  MSTRG.14235.1_rev  1:lncRNA       0.863
  MSTRG.14385.1_rev  1:lncRNA       0.863
  MSTRG.14487.1_rev  1:lncRNA       0.863
  MSTRG.14507.1_rev  1:lncRNA       0.863
  MSTRG.14649.1_rev  1:lncRNA       0.852
  MSTRG.14733.1_rev  1:lncRNA       0.863
  MSTRG.14819.1_rev  1:lncRNA       0.852
  MSTRG.14868.1_rev  1:lncRNA       0.852
  MSTRG.14965.1_rev  1:lncRNA       0.852
  MSTRG.14998.1_rev  1:lncRNA       0.863
  MSTRG.15160.1_rev  1:lncRNA       0.852
  MSTRG.15299.1_rev  1:lncRNA       0.852
  MSTRG.15302.1_rev  1:lncRNA       0.863
  MSTRG.15633.1_rev  1:lncRNA       0.863
  MSTRG.15921.1_rev  1:lncRNA       0.863
  MSTRG.16071.1_rev  1:lncRNA       0.863
  MSTRG.16136.1_rev  1:lncRNA       0.782
  MSTRG.16336.1_rev  1:lncRNA       0.863
  MSTRG.16510.1_rev  1:lncRNA       0.852
  MSTRG.16698.1_rev  1:lncRNA       0.852
  MSTRG.16781.1_rev  1:lncRNA       0.863
  MSTRG.16897.1_rev  1:lncRNA       0.863
  MSTRG.17054.1_rev  1:lncRNA       0.863
  MSTRG.17064.1_rev  1:lncRNA       0.863
  MSTRG.17144.1_rev  1:lncRNA       0.852
  MSTRG.17166.1_rev  1:lncRNA       0.852
  MSTRG.17184.1_rev  1:lncRNA       0.852
  MSTRG.17401.1_rev  1:lncRNA       0.863
  MSTRG.17555.1_rev  1:lncRNA       0.863
  MSTRG.17688.1_rev  1:lncRNA       0.863
  MSTRG.17748.1_rev  1:lncRNA       0.852
  MSTRG.17809.1_rev  1:lncRNA       0.863
  MSTRG.17839.1_rev  1:lncRNA       0.863
  MSTRG.17844.1_rev  1:lncRNA       0.852
  MSTRG.17880.1_rev  1:lncRNA       0.863
  MSTRG.17915.1_rev  1:lncRNA       0.863
  MSTRG.18066.1_rev  1:lncRNA       0.863
  MSTRG.18261.1_rev  1:lncRNA       0.863
  MSTRG.18506.1_rev  1:lncRNA       0.863
  MSTRG.18531.1_rev  1:lncRNA       0.852
  MSTRG.18920.1_rev  1:lncRNA       0.863
  MSTRG.18971.1_rev  1:lncRNA       0.863
  MSTRG.19242.1_rev  1:lncRNA       0.863
  MSTRG.19358.1_rev  1:lncRNA       0.863
  MSTRG.19743.1_rev  1:lncRNA       0.863
  MSTRG.19744.1_rev  1:lncRNA       0.852
  MSTRG.19790.1_rev  1:lncRNA       0.863
  MSTRG.19978.1_rev  1:lncRNA       0.863
  MSTRG.20051.1_rev  1:lncRNA       0.852
  MSTRG.20097.1_rev    2:mRNA       0.596
  MSTRG.20689.1_rev  1:lncRNA       0.863
  MSTRG.20700.1_rev  1:lncRNA       0.863
  MSTRG.21318.1_rev  1:lncRNA       0.863
  MSTRG.21352.1_rev  1:lncRNA       0.863
  MSTRG.21409.1_rev  1:lncRNA       0.863
  MSTRG.21542.1_rev  1:lncRNA       0.863
  MSTRG.21631.1_rev  1:lncRNA       0.852
  MSTRG.21909.1_rev  1:lncRNA       0.863
  MSTRG.21933.1_rev  1:lncRNA       0.863
  MSTRG.22017.1_rev  1:lncRNA       0.852
  MSTRG.22177.1_rev  1:lncRNA       0.863
  MSTRG.22199.1_rev  1:lncRNA       0.852
  MSTRG.22216.1_rev  1:lncRNA       0.863
  MSTRG.22275.1_rev  1:lncRNA       0.863
  MSTRG.22474.1_rev  1:lncRNA       0.863
  MSTRG.22529.1_rev  1:lncRNA       0.852
  MSTRG.22544.1_rev  1:lncRNA       0.863
  MSTRG.22547.1_rev  1:lncRNA       0.863
  MSTRG.22575.1_rev  1:lncRNA       0.863
  MSTRG.22657.1_rev  1:lncRNA       0.863
  MSTRG.22721.1_rev  1:lncRNA       0.863
  MSTRG.22723.1_rev  1:lncRNA       0.863
  MSTRG.22777.1_rev  1:lncRNA       0.863
  MSTRG.23085.1_rev  1:lncRNA       0.852
  MSTRG.23116.1_rev  1:lncRNA       0.863
  MSTRG.23207.1_rev  1:lncRNA       0.863
  MSTRG.23317.1_rev  1:lncRNA       0.852
  MSTRG.23401.1_rev  1:lncRNA       0.852
  MSTRG.23406.1_rev  1:lncRNA       0.863
  MSTRG.23460.1_rev  1:lncRNA       0.863
  MSTRG.23545.1_rev  1:lncRNA       0.852
  MSTRG.23683.1_rev  1:lncRNA       0.852
  MSTRG.23777.1_rev  1:lncRNA       0.852
  MSTRG.23799.1_rev  1:lncRNA       0.863
  MSTRG.23952.1_rev  1:lncRNA       0.852
  MSTRG.24014.1_rev  1:lncRNA       0.852
  MSTRG.24072.1_rev  1:lncRNA       0.863
  MSTRG.24135.1_rev  1:lncRNA       0.863
  MSTRG.24155.1_rev  1:lncRNA       0.863
  MSTRG.24236.1_rev  1:lncRNA       0.863
  MSTRG.24281.1_rev  1:lncRNA       0.863
  MSTRG.24394.1_rev  1:lncRNA       0.863
  MSTRG.24396.1_rev  1:lncRNA       0.852
  MSTRG.24450.1_rev  1:lncRNA       0.863
  MSTRG.24455.1_rev  1:lncRNA       0.863
  MSTRG.24483.1_rev  1:lncRNA       0.852
  MSTRG.24550.1_rev  1:lncRNA       0.863
  MSTRG.24608.1_rev  1:lncRNA       0.825
  MSTRG.24632.1_rev  1:lncRNA       0.863
  MSTRG.24638.1_rev  1:lncRNA       0.863
  MSTRG.25104.1_rev  1:lncRNA       0.863
  MSTRG.25404.1_rev  1:lncRNA       0.863
  MSTRG.25608.1_rev  1:lncRNA       0.863
  MSTRG.25642.1_rev  1:lncRNA       0.863
  MSTRG.25688.1_rev  1:lncRNA       0.852
  MSTRG.25733.1_rev  1:lncRNA       0.825
  MSTRG.25790.1_rev  1:lncRNA       0.863
  MSTRG.26013.1_rev  1:lncRNA       0.863
  MSTRG.26375.1_rev  1:lncRNA       0.852
  MSTRG.26378.1_rev  1:lncRNA       0.863
  MSTRG.26395.1_rev  1:lncRNA       0.852
  MSTRG.26411.1_rev  1:lncRNA       0.863
  MSTRG.26475.1_rev  1:lncRNA       0.863
  MSTRG.26545.1_rev  1:lncRNA       0.863
  MSTRG.26546.1_rev  1:lncRNA       0.852
  MSTRG.26570.1_rev  1:lncRNA       0.863
  MSTRG.26571.1_rev  1:lncRNA       0.863
  MSTRG.26590.1_rev    2:mRNA       1.000
  MSTRG.26745.1_rev  1:lncRNA       0.863
  MSTRG.26889.1_rev  1:lncRNA       0.852
  MSTRG.26929.1_rev  1:lncRNA       0.863
  MSTRG.26945.1_rev  1:lncRNA       0.863
  MSTRG.26950.1_rev  1:lncRNA       0.863
  MSTRG.27008.1_rev  1:lncRNA       0.863
  MSTRG.27255.1_rev  1:lncRNA       0.852
  MSTRG.27350.1_rev  1:lncRNA       0.852
  MSTRG.27460.1_rev  1:lncRNA       0.863
  MSTRG.27646.1_rev  1:lncRNA       0.863
  MSTRG.27681.1_rev  1:lncRNA       0.863
  MSTRG.27823.1_rev  1:lncRNA       0.852
  MSTRG.27849.1_rev  1:lncRNA       0.863
  MSTRG.27889.1_rev  1:lncRNA       0.863
  MSTRG.28027.1_rev  1:lncRNA       0.863
  MSTRG.28039.1_rev  1:lncRNA       0.863
  MSTRG.28241.1_rev  1:lncRNA       0.852
  MSTRG.28263.1_rev  1:lncRNA       0.863
  MSTRG.28339.1_rev  1:lncRNA       0.863
  MSTRG.28434.1_rev  1:lncRNA       0.863
  MSTRG.28450.1_rev  1:lncRNA       0.863
  MSTRG.28596.1_rev  1:lncRNA       0.863
  MSTRG.28728.1_rev  1:lncRNA       0.863
  MSTRG.29080.1_rev  1:lncRNA       0.852
  MSTRG.29160.1_rev  1:lncRNA       0.863
  MSTRG.29464.1_rev  1:lncRNA       0.863
  MSTRG.29482.1_rev  1:lncRNA       0.863
  MSTRG.29518.1_rev  1:lncRNA       0.863
  MSTRG.29549.1_rev  1:lncRNA       0.863
  MSTRG.29658.1_rev  1:lncRNA       0.863
  MSTRG.29684.1_rev  1:lncRNA       0.863
  MSTRG.29711.1_rev  1:lncRNA       0.929
  MSTRG.29837.1_rev  1:lncRNA       0.863
  MSTRG.29866.1_rev  1:lncRNA       0.863
  MSTRG.29983.1_rev  1:lncRNA       0.863
  MSTRG.30051.1_rev  1:lncRNA       0.863
  MSTRG.30168.1_rev  1:lncRNA       0.863
  MSTRG.30329.1_rev  1:lncRNA       0.863
  MSTRG.30348.1_rev  1:lncRNA       0.863
  MSTRG.30520.1_rev  1:lncRNA       0.863
  MSTRG.30722.1_rev  1:lncRNA       0.863
  MSTRG.30862.1_rev  1:lncRNA       0.863
  MSTRG.30872.1_rev  1:lncRNA       0.852
  MSTRG.30879.1_rev  1:lncRNA       0.782
  MSTRG.30909.1_rev  1:lncRNA       0.863
  MSTRG.31263.1_rev  1:lncRNA       0.863
  MSTRG.31272.1_rev  1:lncRNA       0.863
  MSTRG.31367.1_rev  1:lncRNA       0.863
  MSTRG.31517.1_rev  1:lncRNA       0.863
  MSTRG.31518.1_rev  1:lncRNA       0.863
  MSTRG.31547.1_rev  1:lncRNA       0.863
  MSTRG.31695.1_rev  1:lncRNA       0.852
  MSTRG.31715.1_rev  1:lncRNA       0.863
  MSTRG.31734.1_rev  1:lncRNA       0.852
  MSTRG.31798.1_rev    2:mRNA       1.000
  MSTRG.31811.1_rev  1:lncRNA       0.863
  MSTRG.32109.1_rev  1:lncRNA       0.863
  MSTRG.32233.1_rev  1:lncRNA       0.863
  MSTRG.32329.1_rev  1:lncRNA       0.863
  MSTRG.32685.1_rev  1:lncRNA       0.863
  MSTRG.32796.1_rev  1:lncRNA       0.863
  MSTRG.32881.1_rev  1:lncRNA       0.863
  MSTRG.32962.1_rev  1:lncRNA       0.863
  MSTRG.33008.1_rev  1:lncRNA       0.863
  MSTRG.33027.1_rev  1:lncRNA       0.852
  MSTRG.33233.1_rev  1:lncRNA       0.863
  MSTRG.33254.1_rev  1:lncRNA       0.863
  MSTRG.33334.1_rev    2:mRNA       1.000
  MSTRG.33570.1_rev  1:lncRNA       0.863
  MSTRG.33754.1_rev  1:lncRNA       0.852
  MSTRG.34411.1_rev  1:lncRNA       0.863
  MSTRG.34653.1_rev  1:lncRNA       0.863
  MSTRG.34656.1_rev  1:lncRNA       0.863
  MSTRG.34821.1_rev  1:lncRNA       0.852
  MSTRG.34824.1_rev  1:lncRNA       0.852
  MSTRG.34895.1_rev  1:lncRNA       0.863
  MSTRG.34904.1_rev  1:lncRNA       0.863
  MSTRG.34969.1_rev  1:lncRNA       0.863
  MSTRG.35009.1_rev  1:lncRNA       0.863
  MSTRG.35142.1_rev  1:lncRNA       0.863
  MSTRG.35240.1_rev  1:lncRNA       0.863
  MSTRG.35277.1_rev  1:lncRNA       0.863
  MSTRG.35297.1_rev  1:lncRNA       0.863
  MSTRG.35365.1_rev  1:lncRNA       0.863
  MSTRG.35382.1_rev  1:lncRNA       0.852
  MSTRG.35553.1_rev    2:mRNA       0.596
  MSTRG.35671.1_rev  1:lncRNA       0.852
  MSTRG.35816.1_rev  1:lncRNA       0.863
  MSTRG.36020.1_rev  1:lncRNA       0.852
  MSTRG.36052.1_rev  1:lncRNA       0.782
  MSTRG.36067.1_rev  1:lncRNA       0.863
  MSTRG.36281.1_rev  1:lncRNA       0.863
  MSTRG.36715.1_rev  1:lncRNA       0.852
  MSTRG.36893.1_rev  1:lncRNA       0.852
  MSTRG.36896.1_rev  1:lncRNA       0.863
  MSTRG.37288.1_rev  1:lncRNA       0.863
  MSTRG.37293.1_rev  1:lncRNA       0.863
  MSTRG.37313.1_rev  1:lncRNA       0.852
  MSTRG.37367.1_rev  1:lncRNA       0.863
  MSTRG.37833.1_rev    2:mRNA       1.000
  MSTRG.37995.1_rev  1:lncRNA       0.863
  MSTRG.38052.1_rev  1:lncRNA       0.852
  MSTRG.38114.1_rev    2:mRNA       1.000
  MSTRG.38172.1_rev  1:lncRNA       0.863
  MSTRG.38462.1_rev  1:lncRNA       0.863
  MSTRG.38886.1_rev  1:lncRNA       0.863
  MSTRG.38900.1_rev  1:lncRNA       0.863
  MSTRG.38964.1_rev  1:lncRNA       0.852
  MSTRG.39302.1_rev  1:lncRNA       0.852
  MSTRG.39317.1_rev  1:lncRNA       0.852
  MSTRG.39521.1_rev  1:lncRNA       0.863
  MSTRG.39562.1_rev  1:lncRNA       0.863
  MSTRG.39900.1_rev  1:lncRNA       0.863
  MSTRG.39933.1_rev  1:lncRNA       0.863
  MSTRG.40045.1_rev  1:lncRNA       0.863
  MSTRG.40199.1_rev  1:lncRNA       0.852
  MSTRG.40203.1_rev  1:lncRNA       0.863
  MSTRG.40504.1_rev  1:lncRNA       0.863
  MSTRG.40550.1_rev    2:mRNA       1.000
  MSTRG.40556.1_rev  1:lncRNA       0.863
  MSTRG.40603.1_rev  1:lncRNA       0.863
  MSTRG.40634.1_rev  1:lncRNA       0.863
  MSTRG.40931.1_rev  1:lncRNA       0.863
  MSTRG.40999.1_rev  1:lncRNA       0.863
  MSTRG.41102.1_rev  1:lncRNA       0.863
  MSTRG.41232.1_rev  1:lncRNA       0.863
  MSTRG.41401.1_rev  1:lncRNA       0.863
  MSTRG.41447.1_rev    2:mRNA       0.596
  MSTRG.41818.1_rev  1:lncRNA       0.852
  MSTRG.42043.1_rev  1:lncRNA       0.863
  MSTRG.42176.1_rev  1:lncRNA       0.863
  MSTRG.42201.1_rev  1:lncRNA       0.863
  MSTRG.42256.1_rev  1:lncRNA       0.863
  MSTRG.42330.1_rev  1:lncRNA       0.863
  MSTRG.42394.1_rev  1:lncRNA       0.852
  MSTRG.42422.1_rev  1:lncRNA       0.863
  MSTRG.42596.1_rev  1:lncRNA       0.863
  MSTRG.42719.1_rev  1:lncRNA       0.852
  MSTRG.42724.1_rev  1:lncRNA       0.852
  MSTRG.42755.1_rev    2:mRNA       1.000
  MSTRG.42884.1_rev    2:mRNA       1.000
  MSTRG.43024.1_rev  1:lncRNA       0.863
  MSTRG.43339.1_rev  1:lncRNA       0.863
  MSTRG.43424.1_rev  1:lncRNA       0.852
  MSTRG.43448.1_rev  1:lncRNA       0.852
  MSTRG.43539.1_rev  1:lncRNA       0.863
  MSTRG.43580.1_rev  1:lncRNA       0.697
  MSTRG.43623.1_rev  1:lncRNA       0.852
  MSTRG.43752.1_rev  1:lncRNA       0.852
  MSTRG.43795.1_rev  1:lncRNA       0.863
  MSTRG.43915.1_rev  1:lncRNA       0.863
  MSTRG.43932.1_rev  1:lncRNA       0.852
  MSTRG.44021.1_rev  1:lncRNA       0.863
  MSTRG.44022.1_rev    2:mRNA       1.000
  MSTRG.44045.1_rev  1:lncRNA       0.852
  MSTRG.44101.1_rev  1:lncRNA       0.697
  MSTRG.44116.1_rev  1:lncRNA       0.863
  MSTRG.44131.1_rev  1:lncRNA       0.852
  MSTRG.44188.1_rev  1:lncRNA       0.863
  MSTRG.44189.1_rev  1:lncRNA       0.863
  MSTRG.44279.1_rev  1:lncRNA       0.863
  MSTRG.44285.1_rev  1:lncRNA       0.863
  MSTRG.44429.1_rev  1:lncRNA       0.825
  MSTRG.44518.1_rev    2:mRNA       1.000
  MSTRG.44586.1_rev  1:lncRNA       0.863
  MSTRG.44736.1_rev  1:lncRNA       0.863
  MSTRG.45145.1_rev  1:lncRNA       0.863
  MSTRG.45170.1_rev  1:lncRNA       0.863
  MSTRG.45412.1_rev  1:lncRNA       0.852
  MSTRG.45576.1_rev  1:lncRNA       0.863
  MSTRG.45698.1_rev    2:mRNA       1.000
  MSTRG.45795.1_rev  1:lncRNA       0.852
  MSTRG.45861.1_rev  1:lncRNA       0.852
  MSTRG.45909.1_rev  1:lncRNA       0.863
  MSTRG.45925.1_rev    2:mRNA       1.000
  MSTRG.45973.1_rev  1:lncRNA       0.863
  MSTRG.45977.1_rev  1:lncRNA       0.863
  MSTRG.45988.1_rev  1:lncRNA       0.863
  MSTRG.46168.1_rev  1:lncRNA       0.852
  MSTRG.46199.1_rev  1:lncRNA       0.863
