isBest	lncRNA_gene	lncRNA_transcript	partnerRNA_gene	partnerRNA_transcript	direction	type	distance	subtype	location
1	MSTRG.59202	MSTRG.59202.1	SoffiXsponR570.03Dg260200.v2.1	SoffiXsponR570.03Dg260200.2.v2.1	sense	intergenic	16547	same_strand	upstream
0	MSTRG.59202	MSTRG.59202.1	SoffiXsponR570.03Dg260300.v2.1	SoffiXsponR570.03Dg260300.1.v2.1	antisense	intergenic	19616	divergent	upstream
0	MSTRG.59202	MSTRG.59202.1	SoffiXsponR570.03Dg260200.v2.1	SoffiXsponR570.03Dg260200.1.v2.1	sense	intergenic	16590	same_strand	upstream
0	MSTRG.59202	MSTRG.59202.1	SoffiXsponR570.03Dg260200.v2.1	SoffiXsponR570.03Dg260200.3.v2.1	sense	intergenic	16645	same_strand	upstream
0	MSTRG.59202	MSTRG.59202.1	SoffiXsponR570.03Dg260100.v2.1	SoffiXsponR570.03Dg260100.1.v2.1	antisense	intergenic	19721	convergent	downstream
1	MSTRG.67192	MSTRG.67192.1	SoffiXsponR570.04Bg004600.v2.1	SoffiXsponR570.04Bg004600.1.v2.1	antisense	genic	0	containing	intronic
0	MSTRG.67192	MSTRG.67192.1	SoffiXsponR570.04Bg004700.v2.1	SoffiXsponR570.04Bg004700.1.v2.1	sense	genic	0	containing	intronic
1	MSTRG.20705	MSTRG.20705.1	SoffiXsponR570.01Dg132300.v2.1	SoffiXsponR570.01Dg132300.1.v2.1	sense	intergenic	6815	same_strand	downstream
1	MSTRG.7240	MSTRG.7240.1	SoffiXsponR570.10Fg109600.v2.1	SoffiXsponR570.10Fg109600.1.v2.1	antisense	intergenic	5723	divergent	upstream
1	MSTRG.25631	MSTRG.25631.1	SoffiXsponR570.01Eg393500.v2.1	SoffiXsponR570.01Eg393500.1.v2.1	antisense	genic	0	nested	intronic
0	MSTRG.25631	MSTRG.25631.1	SoffiXsponR570.01Eg393400.v2.1	SoffiXsponR570.01Eg393400.1.v2.1	sense	intergenic	9728	same_strand	downstream
1	MSTRG.47549	MSTRG.47549.1	SoffiXsponR570.02Gg068900.v2.1	SoffiXsponR570.02Gg068900.1.v2.1	strand_unknow	intergenic	25356	unknow strand(s)	upstream
1	MSTRG.13285	MSTRG.13285.1	SoffiXsponR570.01Bg098200.v2.1	SoffiXsponR570.01Bg098200.1.v2.1	strand_unknow	intergenic	9091	unknow strand(s)	downstream
1	MSTRG.3619	MSTRG.3619.1	SoffiXsponR570.10Cg088100.v2.1	SoffiXsponR570.10Cg088100.1.v2.1	antisense	genic	0	nested	exonic
0	MSTRG.3619	MSTRG.3619.1	SoffiXsponR570.10Cg088000.v2.1	SoffiXsponR570.10Cg088000.1.v2.1	antisense	intergenic	1646	convergent	downstream
0	MSTRG.3619	MSTRG.3619.1	SoffiXsponR570.10Cg088100.v2.1	SoffiXsponR570.10Cg088100.2.v2.1	antisense	genic	0	containing	exonic
0	MSTRG.3619	MSTRG.3619.1	SoffiXsponR570.10Cg088200.v2.1	SoffiXsponR570.10Cg088200.1.v2.1	sense	intergenic	186	same_strand	downstream
1	MSTRG.115439	MSTRG.115439.1	SoffiXsponR570.07Dg204900.v2.1	SoffiXsponR570.07Dg204900.1.v2.1	strand_unknow	genic	0	nested	intronic
0	MSTRG.115439	MSTRG.115439.1	SoffiXsponR570.07Dg205000.v2.1	SoffiXsponR570.07Dg205000.2.v2.1	strand_unknow	intergenic	2776	unknow strand(s)	upstream
0	MSTRG.115439	MSTRG.115439.1	SoffiXsponR570.07Dg205000.v2.1	SoffiXsponR570.07Dg205000.1.v2.1	strand_unknow	intergenic	1758	unknow strand(s)	upstream
0	MSTRG.115439	MSTRG.115439.1	SoffiXsponR570.07Dg204800.v2.1	SoffiXsponR570.07Dg204800.1.v2.1	strand_unknow	intergenic	2855	unknow strand(s)	downstream
1	MSTRG.57576	MSTRG.57576.1	SoffiXsponR570.03Dg054600.v2.1	SoffiXsponR570.03Dg054600.1.v2.1	antisense	intergenic	6235	divergent	upstream
0	MSTRG.57576	MSTRG.57576.1	SoffiXsponR570.03Dg054700.v2.1	SoffiXsponR570.03Dg054700.1.v2.1	antisense	intergenic	6633	divergent	upstream
1	MSTRG.138812	MSTRG.138812.1	SoffiXsponR570.1Z043900.v2.1	SoffiXsponR570.1Z043900.1.v2.1	sense	intergenic	1259	same_strand	downstream
0	MSTRG.138812	MSTRG.138812.1	SoffiXsponR570.1Z044000.v2.1	SoffiXsponR570.1Z044000.1.v2.1	antisense	intergenic	3978	divergent	upstream
1	MSTRG.103923	MSTRG.103923.2	SoffiXsponR570.06Fg157500.v2.1	SoffiXsponR570.06Fg157500.1.v2.1	antisense	intergenic	888	divergent	upstream
1	MSTRG.112236	MSTRG.112236.1	SoffiXsponR570.07Cg045700.v2.1	SoffiXsponR570.07Cg045700.1.v2.1	sense	intergenic	4300	same_strand	downstream
0	MSTRG.112236	MSTRG.112236.1	SoffiXsponR570.07Cg045800.v2.1	SoffiXsponR570.07Cg045800.1.v2.1	sense	intergenic	8235	same_strand	downstream
