              Seq predicted  prediction
       MSTRG.14.1  1:lncRNA       0.863
       MSTRG.26.1  1:lncRNA       0.782
       MSTRG.28.1    2:mRNA       0.596
       MSTRG.28.2  1:lncRNA       0.852
       MSTRG.48.1    2:mRNA       1.000
       MSTRG.50.1  1:lncRNA       0.825
       MSTRG.56.1    2:mRNA       1.000
       MSTRG.57.1  1:lncRNA       0.763
       MSTRG.69.1  1:lncRNA       0.863
       MSTRG.71.1  1:lncRNA       0.782
       MSTRG.71.2  1:lncRNA       0.782
       MSTRG.71.3  1:lncRNA       0.782
       MSTRG.73.1  1:lncRNA       0.782
       MSTRG.73.2  1:lncRNA       0.782
       MSTRG.73.3  1:lncRNA       0.782
       MSTRG.83.1  1:lncRNA       0.852
       MSTRG.83.2  1:lncRNA       0.852
       MSTRG.83.3  1:lncRNA       0.852
       MSTRG.84.1  1:lncRNA       0.852
       MSTRG.84.2    2:mRNA       0.596
       MSTRG.85.1  1:lncRNA       0.852
       MSTRG.87.1    2:mRNA       1.000
       MSTRG.88.1  1:lncRNA       0.863
       MSTRG.91.1    2:mRNA       1.000
       MSTRG.92.1    2:mRNA       0.596
       MSTRG.92.2  1:lncRNA       0.852
       MSTRG.92.3    2:mRNA       0.596
       MSTRG.92.4  1:lncRNA       0.825
       MSTRG.92.5  1:lncRNA       0.763
       MSTRG.92.6    2:mRNA       0.596
       MSTRG.92.7    2:mRNA       0.596
       MSTRG.94.1  1:lncRNA       0.782
       MSTRG.95.1  1:lncRNA       0.852
       MSTRG.97.1  1:lncRNA       0.852
       MSTRG.97.2  1:lncRNA       0.852
       MSTRG.98.1  1:lncRNA       0.697
      MSTRG.106.1  1:lncRNA       0.852
      MSTRG.111.1  1:lncRNA       0.852
      MSTRG.112.1  1:lncRNA       0.697
      MSTRG.112.2  1:lncRNA       0.697
      MSTRG.112.3    2:mRNA       0.596
      MSTRG.112.4  1:lncRNA       0.697
      MSTRG.112.5  1:lncRNA       0.697
      MSTRG.113.1  1:lncRNA       0.863
      MSTRG.129.1    2:mRNA       0.596
      MSTRG.129.2    2:mRNA       0.596
      MSTRG.129.3  1:lncRNA       0.852
      MSTRG.129.4    2:mRNA       0.596
      MSTRG.129.5  1:lncRNA       0.852
      MSTRG.129.6  1:lncRNA       0.763
      MSTRG.129.7  1:lncRNA       0.852
      MSTRG.141.1  1:lncRNA       0.852
      MSTRG.144.1  1:lncRNA       0.863
      MSTRG.145.1  1:lncRNA       0.863
      MSTRG.159.1  1:lncRNA       0.852
      MSTRG.159.2  1:lncRNA       0.852
      MSTRG.163.1  1:lncRNA       0.863
      MSTRG.165.1  1:lncRNA       0.782
      MSTRG.170.1  1:lncRNA       0.863
      MSTRG.173.1  1:lncRNA       0.863
      MSTRG.174.1  1:lncRNA       0.863
      MSTRG.175.1  1:lncRNA       0.863
      MSTRG.182.1    2:mRNA       1.000
      MSTRG.183.1  1:lncRNA       0.863
      MSTRG.190.1  1:lncRNA       0.863
      MSTRG.196.1  1:lncRNA       0.852
      MSTRG.198.1  1:lncRNA       0.929
      MSTRG.198.2  1:lncRNA       0.929
      MSTRG.198.3  1:lncRNA       0.852
      MSTRG.201.1  1:lncRNA       0.863
      MSTRG.207.1  1:lncRNA       0.852
      MSTRG.207.2  1:lncRNA       0.852
      MSTRG.213.1  1:lncRNA       0.863
      MSTRG.215.1  1:lncRNA       0.852
      MSTRG.216.1  1:lncRNA       0.782
      MSTRG.222.1  1:lncRNA       0.863
      MSTRG.241.1  1:lncRNA       0.863
      MSTRG.242.1  1:lncRNA       0.863
      MSTRG.245.1  1:lncRNA       0.852
      MSTRG.246.1  1:lncRNA       0.852
      MSTRG.247.1  1:lncRNA       0.852
      MSTRG.248.1  1:lncRNA       0.852
      MSTRG.249.1  1:lncRNA       0.852
      MSTRG.254.1    2:mRNA       1.000
      MSTRG.259.1  1:lncRNA       0.852
      MSTRG.262.1  1:lncRNA       0.852
      MSTRG.268.1  1:lncRNA       0.863
      MSTRG.270.1    2:mRNA       0.596
      MSTRG.277.1  1:lncRNA       0.863
      MSTRG.307.1  1:lncRNA       0.852
      MSTRG.333.1  1:lncRNA       0.852
      MSTRG.342.1  1:lncRNA       0.852
      MSTRG.348.1  1:lncRNA       0.852
      MSTRG.349.1    2:mRNA       1.000
      MSTRG.354.1  1:lncRNA       0.852
      MSTRG.357.1    2:mRNA       1.000
      MSTRG.358.1  1:lncRNA       0.852
      MSTRG.358.2  1:lncRNA       0.852
      MSTRG.359.1    2:mRNA       1.000
      MSTRG.359.2    2:mRNA       1.000
      MSTRG.368.1  1:lncRNA       0.863
      MSTRG.368.2  1:lncRNA       0.863
      MSTRG.377.1    2:mRNA       1.000
      MSTRG.377.2    2:mRNA       1.000
      MSTRG.377.3    2:mRNA       1.000
      MSTRG.377.4    2:mRNA       1.000
      MSTRG.377.5  1:lncRNA       0.852
      MSTRG.377.6  1:lncRNA       0.852
      MSTRG.377.7  1:lncRNA       0.852
      MSTRG.379.1  1:lncRNA       0.852
      MSTRG.380.1  1:lncRNA       0.852
      MSTRG.381.1    2:mRNA       1.000
      MSTRG.386.1    2:mRNA       1.000
      MSTRG.386.2    2:mRNA       1.000
      MSTRG.386.3    2:mRNA       1.000
      MSTRG.386.4    2:mRNA       1.000
      MSTRG.386.5    2:mRNA       1.000
      MSTRG.397.1    2:mRNA       1.000
      MSTRG.400.1    2:mRNA       1.000
      MSTRG.404.1  1:lncRNA       0.852
      MSTRG.407.1    2:mRNA       1.000
      MSTRG.410.1  1:lncRNA       0.852
      MSTRG.419.1  1:lncRNA       0.852
      MSTRG.422.1  1:lncRNA       0.852
      MSTRG.422.2  1:lncRNA       0.852
      MSTRG.422.3  1:lncRNA       0.852
      MSTRG.422.4  1:lncRNA       0.852
      MSTRG.438.1  1:lncRNA       0.852
      MSTRG.440.1  1:lncRNA       0.852
      MSTRG.441.1  1:lncRNA       0.852
      MSTRG.442.1  1:lncRNA       0.863
      MSTRG.442.2  1:lncRNA       0.863
      MSTRG.444.1  1:lncRNA       0.863
      MSTRG.445.1  1:lncRNA       0.863
      MSTRG.451.1    2:mRNA       1.000
      MSTRG.452.1  1:lncRNA       0.852
      MSTRG.454.1    2:mRNA       1.000
      MSTRG.460.1  1:lncRNA       0.852
      MSTRG.460.2  1:lncRNA       0.852
      MSTRG.460.3  1:lncRNA       0.852
      MSTRG.460.4  1:lncRNA       0.852
      MSTRG.463.1  1:lncRNA       0.863
      MSTRG.470.1  1:lncRNA       0.852
      MSTRG.471.1  1:lncRNA       0.863
      MSTRG.481.1  1:lncRNA       0.852
      MSTRG.498.1  1:lncRNA       0.852
      MSTRG.500.1  1:lncRNA       0.863
      MSTRG.501.1  1:lncRNA       0.852
      MSTRG.502.1    2:mRNA       1.000
      MSTRG.503.1  1:lncRNA       0.863
      MSTRG.504.1  1:lncRNA       0.863
      MSTRG.506.1  1:lncRNA       0.863
      MSTRG.507.1  1:lncRNA       0.863
      MSTRG.511.1    2:mRNA       1.000
      MSTRG.511.2    2:mRNA       1.000
      MSTRG.511.3    2:mRNA       1.000
      MSTRG.513.1    2:mRNA       1.000
      MSTRG.513.2    2:mRNA       1.000
      MSTRG.513.3  1:lncRNA       0.852
      MSTRG.513.4    2:mRNA       1.000
      MSTRG.514.1  1:lncRNA       0.929
      MSTRG.514.2  1:lncRNA       0.852
      MSTRG.515.1    2:mRNA       1.000
      MSTRG.515.2    2:mRNA       1.000
      MSTRG.518.1  1:lncRNA       0.852
