sequence_name	coding_score	classification
MSTRG.14.1	0.77060	coding
MSTRG.26.1	0.56030	coding
MSTRG.28.1	0.98454	coding
MSTRG.28.2	0.97900	coding
MSTRG.48.1	0.99932	coding
MSTRG.50.1	0.10005	noncoding
MSTRG.56.1	0.98936	coding
MSTRG.57.1	0.03535	noncoding
MSTRG.69.1	0.34104	noncoding
MSTRG.71.1	0.39484	noncoding
MSTRG.71.2	0.43037	noncoding
MSTRG.71.3	0.56350	coding
MSTRG.73.1	0.54719	coding
MSTRG.73.2	0.52976	coding
MSTRG.73.3	0.59956	coding
MSTRG.83.1	0.84694	coding
MSTRG.83.2	0.85308	coding
MSTRG.83.3	0.83621	coding
MSTRG.84.1	0.28252	noncoding
MSTRG.84.2	0.67312	coding
MSTRG.85.1	0.34196	noncoding
MSTRG.87.1	0.42113	noncoding
MSTRG.88.1	0.56841	coding
MSTRG.91.1	0.96415	coding
MSTRG.92.1	0.38802	noncoding
MSTRG.92.2	0.59436	coding
MSTRG.92.3	0.40525	noncoding
MSTRG.92.4	0.50724	coding
MSTRG.92.5	0.48453	noncoding
MSTRG.92.6	0.59017	coding
MSTRG.92.7	0.53147	coding
MSTRG.94.1	0.84203	coding
MSTRG.95.1	0.87956	coding
MSTRG.97.1	0.65016	coding
MSTRG.97.2	0.78153	coding
MSTRG.98.1	0.31081	noncoding
MSTRG.106.1	0.70755	coding
MSTRG.111.1	0.46253	noncoding
MSTRG.112.1	0.99966	coding
MSTRG.112.2	0.99967	coding
MSTRG.112.3	0.99979	coding
MSTRG.112.4	0.99978	coding
MSTRG.112.5	0.99977	coding
MSTRG.113.1	0.24888	noncoding
MSTRG.129.1	0.45913	noncoding
MSTRG.129.2	0.59360	coding
MSTRG.129.3	0.09999	noncoding
MSTRG.129.4	0.22642	noncoding
MSTRG.129.5	0.08661	noncoding
MSTRG.129.6	0.13768	noncoding
MSTRG.129.7	0.50406	coding
MSTRG.141.1	0.73573	coding
MSTRG.144.1	0.33523	noncoding
MSTRG.145.1	0.51988	coding
MSTRG.159.1	0.57613	coding
MSTRG.159.2	0.55635	coding
MSTRG.163.1	0.78315	coding
MSTRG.165.1	0.55627	coding
MSTRG.170.1	0.22053	noncoding
MSTRG.173.1	0.70452	coding
MSTRG.174.1	0.31024	noncoding
MSTRG.175.1	0.32424	noncoding
MSTRG.182.1	0.99989	coding
MSTRG.183.1	0.09478	noncoding
MSTRG.190.1	0.26882	noncoding
MSTRG.196.1	0.60131	coding
MSTRG.198.1	0.29218	noncoding
MSTRG.198.2	0.22721	noncoding
MSTRG.198.3	0.19601	noncoding
MSTRG.201.1	0.16766	noncoding
MSTRG.207.1	0.46599	noncoding
MSTRG.207.2	0.70324	coding
MSTRG.213.1	0.55225	coding
MSTRG.215.1	0.41018	noncoding
MSTRG.216.1	0.87255	coding
MSTRG.222.1	0.83762	coding
MSTRG.241.1	0.95853	coding
MSTRG.242.1	0.83888	coding
MSTRG.245.1	0.96554	coding
MSTRG.246.1	0.02939	noncoding
MSTRG.247.1	0.09617	noncoding
MSTRG.248.1	0.11751	noncoding
MSTRG.249.1	0.04052	noncoding
MSTRG.254.1	0.96705	coding
MSTRG.259.1	0.62355	coding
MSTRG.262.1	0.03037	noncoding
MSTRG.268.1	0.74896	coding
MSTRG.270.1	0.65482	coding
MSTRG.277.1	0.49165	noncoding
MSTRG.307.1	0.56691	coding
MSTRG.322.1	0.08460	noncoding
MSTRG.333.1	0.44358	noncoding
MSTRG.342.1	0.68038	coding
MSTRG.348.1	0.73074	coding
MSTRG.349.1	0.65303	coding
MSTRG.354.1	0.99621	coding
MSTRG.357.1	0.96196	coding
MSTRG.358.1	0.07695	noncoding
MSTRG.358.2	0.08251	noncoding
MSTRG.359.1	0.57407	coding
MSTRG.359.2	0.71498	coding
MSTRG.368.1	0.13327	noncoding
MSTRG.368.2	0.18630	noncoding
MSTRG.377.1	0.83573	coding
MSTRG.377.2	0.87229	coding
MSTRG.377.3	0.91569	coding
MSTRG.377.4	0.91122	coding
MSTRG.377.5	0.71782	coding
MSTRG.377.6	0.68390	coding
MSTRG.377.7	0.69214	coding
MSTRG.379.1	0.16512	noncoding
MSTRG.380.1	0.97442	coding
MSTRG.381.1	0.99981	coding
MSTRG.386.1	0.99926	coding
MSTRG.386.2	0.99916	coding
MSTRG.386.3	0.99926	coding
MSTRG.386.4	0.99931	coding
MSTRG.386.5	0.99945	coding
MSTRG.397.1	0.99928	coding
MSTRG.400.1	0.95157	coding
MSTRG.404.1	0.48375	noncoding
MSTRG.407.1	0.95594	coding
MSTRG.410.1	0.32337	noncoding
MSTRG.419.1	0.26639	noncoding
MSTRG.422.1	0.59100	coding
MSTRG.422.2	0.69335	coding
MSTRG.422.3	0.86270	coding
MSTRG.422.4	0.59666	coding
MSTRG.438.1	0.03553	noncoding
MSTRG.440.1	0.91684	coding
MSTRG.441.1	0.85972	coding
MSTRG.442.1	0.28510	noncoding
MSTRG.442.2	0.16642	noncoding
MSTRG.444.1	0.58701	coding
MSTRG.445.1	0.44463	noncoding
MSTRG.451.1	0.64173	coding
MSTRG.452.1	0.79496	coding
MSTRG.454.1	0.72007	coding
MSTRG.460.1	0.64186	coding
MSTRG.460.2	0.84397	coding
MSTRG.460.3	0.78603	coding
MSTRG.460.4	0.77546	coding
MSTRG.463.1	0.33129	noncoding
MSTRG.470.1	0.75740	coding
